English Term,Arabic Title,Arabic Description
Artificial Intelligence (AI),ذكاء اصطناعي,أحد مجالات علوم الحاسب يهدف إلى إنشاء أنظمة يمكنها تنفيذ المهام التي تحتاج عادةً إلى الإدراك البشري، مثل التعلّم وصنع القرار والتطوير الذاتي، ويُشار إليه غالباً باسم “ذكاء الآلة”.
Machine Learning (ML),تعُّلم الآلة,مجموعة فرعية في الذكاء الاصطناعي تركز على تعليم الأنظمة رصد الأنماط في البيانات المتاحة، واتخاذ قرارات أو تقديم تنبؤات استناداً إلى بيانات جديدة دون برمجتها بشكل صريح.
Deep Learning,تعُّلم عميق,نموذج رقمي يعتمد على الذكاء الاصطناعي، ويحاكي البُنى العصبية البيولوجية في أدمغة الحيوانات، ويُطلق عليها أيضاً اسم “الشبكة العصبية”.
Artificial Neural Network (ANN),شبكة عصبية اصطناعية,أحد مجالات الذكاء الاصطناعي ويُعنى بتفسير أو توليد اللغة البشرية سواءً بصورة مكتوبة أو منطوقة.
Natural Language Processing (NLP),معالجة اللغات الطبيعية,أحد أساليب تعلُّم الآلة، والذي يحدد أفضل الاستراتيجيات من خلال نظام المكافآت والعقوبات، بهدف تحقيق أكبر قدر من المكافآت التراكمية.
Reinforcement Learning,تعُّلم تعزيزي,نوع من تعلّم الآلة، يستخدم مجموعة بيانات مُسماة لتعليم وتدريب نموذج على إجراء التنبؤات أو التصنيفات.
Supervised Learning,تعُّلم موَّجه,إحدى المنهجيات المستخدمة في مجال تعلّم الآلة، والتي تحدّد الهياكل الأساسية في مجموعة بيانات غير مُسماة.
Unsupervised Learning,تعُّلم غير موَّجه,أحد أساليب تعلّم الآلة يستخدم مزيجاً من البيانات المُسماة وغير المُسماة أثناء عملية التدريب.
Semi-supervised Learning,تعُّلم شبه موَّجه,نموذج لتعلّم الآلة يتكون من شبكتين عصبيتين مترابطتين، شبكة توليدية وشبكة تمييزية، تتنافسان في بيئة تحاكي الألعاب.
Generative Adversarial Network (GAN),شبكة توليدية تنافسية,بنية تعلّم عميقة مصممة لتحليل ومعالجة البيانات المرئية مثل الصور ومقاطع الفيديو.
Convolutional Neural Network (CNN),شبكة عصبية ترشيحية,بنية تعلّم عميقة مصممة لتحليل ومعالجة البيانات المرئية مثل الصور ومقاطع الفيديو.
Convolutional Neural Network (CNN),شبكة عصبية ترشيحية,تصميم شبكة عصبية يفسّر البيانات المتسلسلة عن طريق معالجتها عدة مرات لتمييز الأنماط.
Recurrent Neural Networks (RNNs),شبكة عصبية تكرارية,نوع من الشبكات العصبية التكرارية القادرة على التعامل مع تسلسل البيانات، مما يضمن الأداء الفعال لكل من التوابع الطويلة والقصيرة المدى.
Long Short-Term Memory (LSTM),الذاكرة القصيرة المدى المطولة,أسلوب في تعلّم الآلة يتم فيه تطبيق المعرفة المكتسبة من إحدى المهمات لتحسين الأداء في مهمة مختلفة ولكنها ذات صلة بالمهمة الأصلية.
Transfer Learning,تعُّلم منقول,عملية الاستخلاص التلقائي للسمات ذات المعنى المطلوبة لاكتشاف الخصائص أو تصنيفها من المدخلات الأولية.
Feature Engineering,هندسة الخصائص,معضلة تظهر عند محاولة الموازنة بين التحيُّز والتباين، مما يمنع النماذج الخاضعة للإشراف من التعميم الفعال خارج بيانات التدريب الخاصة بها.
Bias-Variance Tradeoff,موازنة التحُّيز-التباين,طريقة تُستخدم لتحسين الدَوَال من خلال التحرك بشكل متكرر في الاتجاه المعاكس للاشتقاق للعثور على الحد الأدنى لقيمة الدالة.
Gradient Descent,نزول اشتقاقي,أسلوب يُستخدم لتدريب الشبكات العصبية عن طريق تقليل الأخطاء وتحديد قيمة المشتقة لضبط حساب أوزان الشبكة، وغالباً ما يتم تسميته اختصاراً “الانتشار العكسي للأخطاء”.
Backpropagation,انتشار عكسي,معادلة رياضية تستخدم في الشبكات العصبية الاصطناعية لمعالجة المدخلات الموزونة للُعَقد وإنتاج المخرجات.
Activation Function,دالة تنشيط,دورة كاملة من التدريب على مجموعة البيانات بأكملها.
Epoch,دورة,مشكلة في تعلُّم الآلة تحدث عند تصميم النموذج بدقة شديدة ليناسب بيانات التدريب، مما يعيق قدرته على التعميم بفعالية على البيانات الجديدة.
Overfitting,فرط التخصيص,مشكلة في تعلُّم الآلة تحدث عندما لا يتمكن النموذج من التعرف على التعقيد الأساسي لبيانات التدريب، مما يؤدي إلى تنبؤات دون المستوى الأمثل.
Underfitting,فرط التعميم,أسلوب يُستخدم لردع فرط التخصيص من خلال تضمين قيود أو معلومات إضافية.
Regularization,ضبط,استراتيجية الحذف العشوائي لوحدات معينة في طبقة الشبكة أثناء تحديث مشتقة واحدة.
Dropout Regularization,ضبط الإسقاط,طريقة في تعلُّم الآلة لتوليد بيانات إضافية عن طريق تغيير مجموعة البيانات الحالية.
Data Augmentation,زيادة البيانات,مجموعة البيانات المستخدمة لتدريب نموذج تعلُّم الآلة.
Training Dataset,بيانات التدريب,مجموعة البيانات المستخدمة لتقييم فعالية نموذج تعلُّم الآلة بعد التدريب والتحقق. يُطلق عليها أيضاً “بيانات التقييم”.
Test Dataset,بيانات الاختبار,مجموعة البيانات المستخدمة لقياس أداء نموذج تعلُّم الآلة بعد التدريب.
Validation Dataset,بيانات التحقق,أسلوب تعلّم موجّه يستخدم هيكلاً شجرياً لتحليل عملية صنع القرار.
Decision Tree,شجرة القرار,أسلوب تعلّم جماعي ينشئ أشجار قرار متعددة ويدمج نتائجها للحصول على أفضل النتائج.
Random Forest,غابة عشوائية,نموذج تعلّم موجّه مصمم لتصنيف البيانات وتحليل الانحدار، بهدف إنشاء حدود قرار بأكبر هوامش ممكنة.
Support Vector Machine (SVM),آلة الُمَّتجهات الداعمة,خوارزمية تستخدم القيمة المتوسطة لتصنيف البيانات إلى عدد محدد من المجموعات بناءً على أوجه التشابه في الخصائص.
K-means (or K-Means Clustering),تجميع بالمتوسط,أسلوب يُستخدم لتقليل التكرار عن طريق تقليل أبعاد مجموعة البيانات، مع التركيز على المكونات الأكثر أهمية.
Principal Component Analysis (PCA),تحليل الُمكِّون الرئيس,طريقة تدمج التنبؤات من نماذج متعدّدة بهدف تعزيز الدقة التنبؤية الشاملة.
Ensemble,تجميع النماذج,استراتيجية تعلّم جماعي تهدف إلى تعزيز استقرار ودقة نماذج التصنيف والانحدار.
Bootstrap Aggregating (Bagging),تجميع بوتستراب,أسلوب يقلّل من التحيُّز والتباين في التعلم الموجَّه، وتحويل خوارزميات التعلم الضعيفة إلى خوارزميات أكثر قوة.
Boosting,تعزيز,طريقة إحصائية للتأكد من العلاقة بين المتغيرات التابعة والمستقلة، ويُشار إليها ببساطة باسم “الانحدار”.
Regression Analysis,تحليل الانحدار,فئة من خوارزميات تعلُّم الآلة مكلّفة بتحديد الفئة أو المجموعة التي ينتمي إليها مدخل معيّن، ويُطلق عليها أحياناً اسم “التصنيف القياسي”.
Classification,تصنيف,طريقة إحصائية تحدّد العلاقات بين المتغيرات لتطوير نموذج تنبؤي يسلط الضوء على اتجاهات البيانات.
Linear Regression,الانحدار الخطي,أسلوب إحصائي يستخدم دالة لوجستية لتحويل تنبؤات النموذج الخطي إلى نطاق يتراوح بين 0 و1، وغالباً ما يشار إليه باسم “نموذج لوجيت”.
Logistic Regression,انحدار لوجستي,دالة تحدد الاختلاف بين تنبؤات الخوارزمية والقيم الفعلية، ويُطلق عليها أحياناً اسم “دالة التكلفة”.
Loss Function,دالة الخسارة,عملية اختيار الحل الأنسب من بين جميع الخيارات المتاحة، وتعرف أيضاً باسم “التحسين الرياضي”.
Optimization,تحسين,طريقة تعديل معاملات الضبط بشكل متكرر لتحديد المجموعة التي تنتج النموذج الأكثر دقة.
Hyperparameters Tuning,ضبط معاملات الضبط,مجموعة من أجهزة الحاسب المترابطة التي تتعاون لتعمل كجهاز حاسب عملاق افتراضي واحد، مما يسهل العمليات الحسابية واسعة النطاق.
Grid Computing,حوسبة شبكية,أسلوب يُستخدم لتقييم قدرة النموذج على تعميم البيانات الجديدة من خلال تقييمها مقابل مجموعات فرعية مستخلصة من بيانات التدريب.
Cross-Validation,التحقق المتقاطع,مقياس يشير إلى جزء الإيجابيات المحددة بشكل صحيح من بين جميع الإيجابيات المتوقعة.
Precision,الإحكام,مقياس يسلط الضوء على نسبة الإيجابيات الصحيحة من بين جميع الإيجابيات الفعلية، والمعروف أيضاً باسم “المعدل الإيجابي الصحيح”.
Recall,الاستدعاء,مقياس يقيّم دقة المصنف الثنائي عن طريق حساب المتوسط التوافقي للإحكام والاستدعاء.
F-Score,مقياس إف,جدول يلخص أداء نموذج التصنيف، ويوضح مدى دقة تنبؤاته.
Confusion Matrix,مصفوقة الدقة,تمثيل رسومي يوضّح فعالية المُصنِّف في جميع الحدود المحتملة.
ROC Curve,منحنى دّقة الأداء,مقياس أداء يقيّم كفاءة النموذج من خلال النظر في جميع حدود التصنيف المحتملة.
Area under the ROC Curve (AUC),المساحة تحت منحنى دّقة الأداء,مصفوفة أو بنية بيانات موحدة ومتعددة الأبعاد.
Tensor,تينسر,إطار عمل مفتوح المصدر مصمم لتطبيقات تعلُّم الآلة.
TensorFlow,تينسرفلو,واجهـة برمجـة تطبيقـات شهيرة تستخدم لغـة البايثـون، وتُستخدم في مجال تعلّم الآلة، ومتوافقة مع العديد من الواجهات الخلفية للتعلّم العميق.
Keras,كيراس,مجموعة أدوات واجهـة برمجـة تطبيقـات بلغـة البايثـون مفتوحة المصدر مستخدمة على نطاق واسع في مهام تعلُّم الآلة.
Scikit-learn,سايكيت-ليرن,برنامج يعتمد على الذكاء الاصطناعي يستخدم معالجة اللغات الطبيعية للتفاعل مع المستخدمين عبر المحادثات النصية أو الصوتية.
Chatbot,بوت محادثة,مجال يُعنى بتصميم الروبوتات وتطويرها وتطبيقها.
Robotics,روبوتية,أحد تخصصات الذكاء الاصطناعي الذي يركز على تحليل البيانات المرئية وفهمها، مثل الصور ومقاطع الفيديو. غالباً ما يُطلق عليها “رؤية الآلة”.
Computer Vision,رؤية الحاسب,عملية تمييز الأشياء أو الأنماط أو المفاهيم داخل الصور، ويُعرف أيضاً باسم “تصنيف الصور” أو “التعرُّف على الصور”.
Image Recognition,التعرف على الصور,عملية ترجمة اللغة المنطوقة إلى نص مكتوب باستخدام الطرق الحاسوبية. يُشار إليه عادةً باسم “التعرّف الآلي على الكلام” أو “تحويل الكلام إلى نص”.
Speech Recognition,التعرف على الكلام,تطبيق أساليب التعلّم الإحصائي أو تعلّم الآلة لقياس المشاعر أو العواطف الموجودة في النص أو الصورة.
Sentiment Analysis,تحليل المشاعر,تحديد نقاط البيانات التي تنحرف بشكل كبير عن غالبية البيانات، بسبب خصائصها الفريدة.
Anomaly Detection,اكتشاف الشذوذ,فحص نقاط البيانات التي تم جمعها أو تسجيلها على فترات زمنية محددة.
Time Series Analysis,تحليل السلاسل الزمنية,عملية الاستفادة من البيانات التاريخية بالإضافة إلى النماذج الرياضية للتنبؤ بالسيناريوهات المستقبلية أو الأحداث غير المعروفة.
Predictive Analytics,تحليلات تنبؤية,نظام مصمم لاقتراح مجموعة من العناصر للمستخدمين، استناداً إلى تفضيلاتهم وتصرفاتهم. يُطلق عليه أيضاً “محرك توصيات” أو “خوارزمية توصيات”.
Recommendation System,نظام توصيات,تمثيل منظم للكيانات وعلاقاتها المتبادلة، ويُطلق عليه أيضاً اسم “الشبكة الدلالية”.
Knowledge Graph,شبكة معرفية,تحسين شبكة الويب العالمية لتسهيل مشاركة البيانات وإعادة استخدامها عبر المنصات من خلال تحديد هياكل البيانات والمفردات وقواعد إدارة البيانات.
Semantic Web,ويب دلالي,أنظمة محوسبة تحاكي قدرة الخبراء البشريين على صنع القرار في مجالات محددة استناداً إلى قاعدة معرفية تشتمل على الحقائق والاستدلالات.
Expert Systems,نظام خبير,مجال يركز على السلوك المنسق للكيانات اللامركزية في الأنظمة ذاتية التنظيم.
Swarm Intelligence,ذكاء السرب,خوارزميات تطورية مستوحاة من مبادئ الانتقاء الطبيعي لإيجاد الحلول المثلى لتحديات التحسين.
Genetic Algorithms,خوارزمية جينية,نظام منطقي يوسّع التمييز الثنائي بين الصواب والخطأ من خلال استيعاب قيم متعدّدة للصواب.
Fuzzy Logic,منطق ضبابي,مركبة مجهزة بحيث تكون قادرة على استشعار البيئة المحيطة بها والتنقل فيها بشكل مستقل. تُعرف أيضاً باسم “مركبة مؤتمتة”.
Autonomous Vehicle,مركبة ذاتية القيادة,إطار المبادئ والقيم والمنهجيات التي توجّه تطوير حلول الذكاء الاصطناعي وتطبيقها بشكلٍ أخلاقي.
AI Ethics,أخلاقيات الذكاء الاصطناعي,أسلوب في الشبكة العصبية يمكّن الشبكة من التركيز على جوانب محددة من المدخلات المعقدة في كل مرة. ويُسمى أيضاً “آلية الانتباه”.
Attention Model,نموذج الانتباه,بنية شبكة عصبية مخصصة لمعالجة البيانات المتسلسلة استناداً إلى آلية الانتباه الذاتي. وتُسمى أيضاً “شبكة المُحولات العصبية”.
Transformer,مُحوِّل,طريقة تعلّم عميق تعود جذورها إلى بنية الُمحـِّولات، وهي مصممة خصيصاً لمهام معالجة اللغات الطبيعية.
Bidirectional Encoder Representations From Transformers (BERT),تمثيلات الترميز الثنائية الاتجاه من المحولات (بيرت),شبكات عصبية مصممة لإنشاء تمثيلات بيانات فعالة لسيناريوهات التعلّم غير الموجَّه.
Autoencoders,مُرِّمز تلقائي,شبكات عصبية تشتمل على كبسولات (مجموعات من الخلايا العصبية) تشير إلى معاملات إنشاء لكيان محدد.
Capsule Neural Network,شبكة عصبية كبسولية,النماذج التي تحوّل تسلسلاً واحداً من العناصر إلى تسلسل آخر.
Sequence-to-Sequence Models,مهمة تحويل تسلسل إلى تسلسل,عملية ترجمة المتجهات عالية الأبعاد إلى فضاء أبعاد أكثر إحكاماً.
Embedding,تضمين,تمثيل رسومي يعرض المتغيرات وترابطها الشرطي باستخدام المنطق البايزي.
Bayesian Network,شبكة بايزية,عمليات التحكم العشوائية المستخدمة لنمذجة عملية صنع القرار في سيناريوهات التحسين غير المؤكدة.
Markov Decision Processes (MDP),عملية قرار ماركوف,خوارزمية صنع القرار تجمع بين محاكاة مونت كارلو ومنهجيات البحث الشجري لتحديد القرارات المثلى.
Monte Carlo Tree Search (MCTS),البحث الشجري باستخدام مونت كارلو,منهجية تعلّم تنشئ مصنِّفات فعالة من مثال تدريبي واحد.
One-shot Learning,تعلم بمثال واحد,منهجية تعلّم تنشئ المصنِّفات باستخدام مجموعة محدودة من أمثلة التدريب.
Few-shot Learning,تعلم بأمثلة قليلة,أسلوب يُمكّن النماذج من التعرّف على الأصناف التي لم يسبق التعرض لها أثناء التدريب.
Zero-shot Learning,تعلم بدون أمثلة مباشرة,مجال يُعنى بإنشاء خوارزميات قوية لتعلّم الآلة لمواجهة التهديدات الأمنية.
Adversarial machine Training,تعلم الآلة العدائي,تصميم شبكة عصبية قادر على استنتاج الخوارزميات من الأمثلة المقدمة.
Neural Turing Machine,آلة تورينج العصبية,أساليب التعلّم العميق المصممة للبيانات الممثلة باستخدام الرسوم البيانية.
Graph Neural Network,شبكة عصبية شبكية,مكون للشبكة العصبية، ينتج تسلسلاً جديداً من التضمينات من خلال تطبيـق آلية الانتباه على عناصر تسلسل الإدخال.
Self-Attention,الانتباه الذاتي,آلية انتباه ذاتي تُنفَّذ عدة مرات لكل موضع ضمن تسلسل الإدخال.
