English Term,Arabic Title,Arabic Description
Multi-Head Self-Attention,انتباه ذاتي متعدد الرؤوس,أسلوب يعمل على تحسين أداء الشبكة العصبية واستقرارها من خلال توحيد المخرجات بين الطبقات.
Batch Normalization,تسوية الحزمة,دالة تنشيط تعطي نفس قيمة المدخل للمدخلات الإيجابية، وتعطي القيمة صفر للمدخلات غير الإيجابية.
Rectified Linear Unit (ReLU),وحدة خطية مصححة (ريلو),أحد أنواع دالة التنشيط التي تسمح بتدرج بسيط للقيم السالبة.
Leaky ReLU,دالة ريلو المتسربة,دالة تعيّن مخرجات الانحدار اللوجستي أو متعدد الحدود إلى احتمالات قيمتها تتراوح بين الصفر والواحد.
Sigmoid Function,دالة سيجمويد,متجه خصائص يتكون في الغالب من قيم صفرية أو فارغة.
Sparse Feature,خاصية متناثرة,شبكات عصبية تستخدم دالة الأساس نصف القطرية كدالة تنشيط لمهام التصنيف غير الخطية.
Radial Basis Function (RBF) Network,شبكة دالة القاعدة الشعاعية,خوارزمية تعالج القيم المدخلة، وتطبق دالة على مجموعها المرجح، وتنتج مخرجة واحدة.
Perceptron,بيرسبترون,استراتيجية لمواجهة مشكلة انفجار المشتقة من خلال تحديد الحد الأقصى لقيمة المشتقة أثناء تدريب النموذج باستخدام النزول الاشتقاقي.
Gradient Clipping,قص اشتقاقي,معامل ضبط يُستخدم في أساليب التحسين التي تحدد حجم كل خطوة أثناء التكرارات. ويُسمى أيضاً “حجم الخطوة”.
Learning Rate,معدل التعلم,نوع من النزول الاشتقاقي يتأثر فيه اتجاه الخطوة باتجاه الخطوة السابقة ومشتقة الخطوة الحالية.
Momentum,الزخم,فضاء متجه مكثف تُعيّن عليه خصائص الفضاء المتجه ذو الأبعاد الأعلى.
Embedding Space,فضاء التضمين,نهج نمذجة إدراكية يستخدم من الشبكات العصبية الاصطناعية لمحاكاة القدرات الفكرية.
Connectionism,التشابكية,نموذج مصمم للتعامل مع المدخلات التي تربطها علاقة زمنية أو متسلسلة.
Sequence Model,نموذج تسلسلي,أسلوب مستخدم في تحليل النصوص، يأخذ في الاعتبار السياقين السابق واللاحق لجزء محدّد من النص.
Bidirectional,ثنائي الاتجاه,مجال من مجالات الذكاء الاصطناعي يركز على الفهم والاستدلال بشأن الجوانب المكانية والزمانية بأسلوب مشابه للبشر.
Spatial-Temporal Reasoning,استدلال مكاني-زماني,مجموعة فرعية من تعلُّم الآلة تهدف إلى تحسين أو ابتكار خوارزميات التعلّم من خلال التعلم من البيانات المحدودة أو المهام السابقة. يُعرف أيضاً باسم “تعلّم كيفية التعلم”.
Metalearning,تعلم عملية التعلم,نتيجة تطبيق عملية ترشيح على بيانات الإدخال باستخدام مرشح محدد، يُطلق عليها أيضاً “خريطة التنشيط”.
Feature Map,خريطة الخصائص,استراتيجية الحذف العشوائي لوحدات معينة في طبقة الشبكة أثناء تحديث مشتقة واحدة.
Dropout Regularization,ضبط الإسقاط,في التعلم المعزز، يوجد مخزن مؤقت للذاكرة، يخزن انتقالات الحالة ليتم استخدامها لاحقاً في تدريب النموذج.
Experience Replay,إعادة تشغيل التجربة,عملية تخفيض حجم المصفوفة التي أنشئت بواسطة طبقة ترشيحية.
Pooling Layer,طبقة تجميع,متغير في نموذج يمكن تعديله بشكل متكرر أثناء التدريب.
Parameter,مُعامل,تصميم شبكة عصبية ترشيحية يحل فيها الترشيح القابل للفصل عمقاً محل عمليات الترشيح التقليدية.
Depthwise Seperable Convolutional Neural Network,شبكة عصبية ترشيحية قابلة للفصل عمًقا,نموذج مصمم للتعامل مع المدخلات أو المخرجات من مصادر أو صيغ متعددة.
Multimodal Learning,نموذج متعدد الصيغ,مجموعة فرعية من تعلُّم الآلة يتعلّم فيها النموذج بشكل تسلسلي من البيانات الواردة باستمرار. تُعرف أيضاً باسم “التعلّم المستمر”.
Online Machine Learning,تعلم الآلة المستمر,نوع من تعلُّم الآلة تستخدم فيه النماذج تسميات مستعارة منشأة ذاتياً في عملية توجيه البيانات غير المسماة.
Self-Supervised Learning,تعلم ذاتي التوجيه,نهج إحصائي لبناء نماذج احتمالية، ومعالجة المشكلات ذات المعلومات غير المكتملة.
Bayesian Programming,برمجة بايزية,عملية تُعنى بعمل تنبؤات باستخدام نموذج مدرب على بيانات جديدة غير مسماة.
Inference,استدلال,نظام محوسب يحاكي قدرة الخبير البشري على اتخاذ القرارات في مجالات محددة باستخدام قاعدة معرفية.
Expert System,نظام خبير,عملية خوارزمية تجمع البيانات في مجموعات باستخدام التجميع الكمي.
Quantization,التجزيء الكمي,عملية تحسين النموذج أو الكود عن طريق إزالة المكونات غير الضرورية لتعزيز إمكانية الصيانة.
Pruning,تشذيب,تمثيل منظم للكيانات وعلاقاتها المتبادلة، ويُطلق عليه أيضاً اسم “الشبكة الدلالية”.
Knowledge Graph,شبكة معرفية,تمثيل غالبية عناصره صفرية أو فارغة.
Sparse Representation,تمثيل متناثر,خاصية تكون معظم قيمها غير صفرية.
Dense Feature,خاصية كثيفة,وحدة لغوية مميزة (على سبيل المثال، كلمة، جزء من كلمة، حرف) تستخدم لتدريب النموذج والتنبؤات.
Token,وحدة لغوية,عملية تقسيم النص إلى وحدات أو رموز أصغر.
Text Tokenization,تقسيم النص,تمثيل بيانات تكون فيه جميع عناصر المتجهات معيّنة على 0، باستثناء عنصر واحد يعيّن على 1.
One-Hot Encoding,ترميز الواحد النشط,تسلسل متجاور للعناصر في نص معيّن.
N-grams,سلسلة كلمات,في التصنيف الثنائي، هو الصنف الذي يمثّل النتيجة البديلة.
Negative Class,صنف سلبي,أسلوب تجميع مناسب للبيانات الهرمية، وينتج عنه شجرة من المجموعات.
Hierarchical Clustering,تجميع هرمي,نموذج مصمم للتعامل مع المدخلات التي تربطها علاقة زمنية أو متسلسلة.
Sequence Model,نموذج تسلسلي,أسلوب في الشبكة العصبية يمكّن الشبكة من التركيز على جوانب محددة من المدخلات المعقدة في كل مرة.
Attention Model,نموذج الانتباه,أسلوب مستخدم في تحليل النصوص، يأخذ في الاعتبار السياقين السابق واللاحق لجزء محدّد من النص.
Bidirectional,ثنائي الاتجاه,السيناريو الذي تكون فيه الطبقات المخفية في البداية في الشبكات العصبية العميقة ذات مشتقات تميل نحو الصفر.
Vanishing Gradient Problem,مشكلة تلاشي المشتقة,متجه يشير إلى معدل تغير الدالة فيما يتعلق بمعاملاتها.
Gradient,مشتقة,أسلوب في تعلّم الآلة غير الموجّه يجمع الأشياء المتشابهة. يُعرف أيضاً باسم “تحليل المجموعات”.
Clustering,تجميع,طريقة تُستخدم لإسقاط البيانات غير الخطية على فضاء بأبعاد أعلى لتسهيل التصنيف.
Kernel Trick,حيلة النواة,دالة تعتمد قيمها على المسافة من النقطة المركزية.
Radial Basis Function (RBF),دالة القاعدة الشعاعية,دالة لقياس التشابه بين مثالين، وإسقاط البيانات في فضاء ذي بُعد أعلى.
Kernel Function,دالة النواة,خوارزمية تصنيف تستخدم دوال النواة لتعظيم الهامش بين الأصناف.
Kernel Support Vector Machine (KSVM),آلة المَّتجهات الداعمة باستخدام النواة,دالة خسارة للتصنيف تهدف إلى تعظيم الهامش بين أمثلة التدريب وحدود القرار.
Hinge Loss,خسارة مفصلية,تعريف للخصوصية في تعلُّم الآلة يضمن خصوصية الأفراد عند جمع البيانات وتحليلها.
Differentiale Privacy,خصوصية تباينية,شبكات عصبية تشتمل على كبسولات (مجموعات من الخلايا العصبية) تشير إلى معاملات إنشاء لكيان محدد.
Capsule Neural Network,شبكة عصبية كبسولية,نموذج يتم تدريبه عبر الإنترنت باستخدام البيانات الواردة بشكل مستمر.
Dynamic Model,نموذج ديناميكي,تقنية ترجمة آلية تستخدم شبكات عصبية واسعة النطاق للتنبؤ بتسلسل الكلمات، وغالباً ما تترجم جملاً كاملة.
Neural Machine Translation,ترجمة الآلة العصبية,نوع من الشبكات العصبية التكرارية، قادر على معالجة تسلسل البيانات لكل من التوابع الطويلة والقصيرة.
Long Short-Term Memory,الذاكرة القصيرة المدى المطولة,دائرة إلكترونية متخصصة مصممة للمعالجة المتوازية السريعة، وذلك لعرض الرسومات على شاشات العرض الإلكترونية.
Graphics Processing Unit (GPU),وحدة معالجة الرسوميات,نوع من الشبكات العصبية الاصطناعية تتدفق فيها البيانات في اتجاه واحد من طبقة الإدخال إلى طبقة الإخراج، دون تكرارها.
Feedforward Neural Network,شبكة عصبية ذات تغذية أمامية,طريقة تُستخدم لإسقاط البيانات غير الخطية على فضاء بأبعاد أعلى لتسهيل التصنيف.
Kernel Trick,حيلة النواة,ارتباط أو حكم غير واعٍ يستند إلى تجارب الفرد وذكرياته.
Implicit Bias,تحيز ضمني,روبوت محادثة يتبع تدفق محادثات محدد مسبقاً، وغالباً ما يكون قائماً على قواعد أو كلمات رئيسية.
Flow-based Chatbot,بوت محادثة موجه,سلسلة من النماذج اللغوية التي تعتمد على المحولات واسعة النطاق، والمصممة لمختلف مهام معالجة اللغة الطبيعية.
Generative Pre-trained Transformer (GPT),محول توليدي مسبق التدريب (جي بي تي),شبكة عصبية تستخدم الاستدلال البايزي لتقدير حالات عدم اليقين في الأوزان والتنبؤات.
Bayesian Neural Network,شبكة عصبية بايزية,شبكة عصبية اصطناعية ذات طبقات متعددة بين المدخلات والمخرجات، مما يعزز قدرتها على تعلّم الأنماط المعقدة.
Deep Neural Network,شبكة عصبية عميقة,هجوم يهدف إلى التأكد مما إذا كانت عينة بيانات محددة قد ساهمت في تدريب نموذج تعلُّم الآلة.
Membership Inference Attack,هجوم استنتاج العضوية,عملية تحديد وتصنيف العلاقات بين الكيانات داخل النص.
Relationship Extraction,استخراج العلاقة,استراتيجية في تعلُّم الآلة، تشمل تدريب النموذج على أداء مهمة ما، ومن ثم ضبطه لأداء مهمة مختلفة ولكنها ذات صلة بالمهمة الأولى.
Transfer Learning,تعلم منقول,أسلوب في تعلُّم الآلة تكون فيه عمليات التدريب والتعلّم مستمرة كلما توفرت عينات بيانات جديدة.
Incremental Learning,تعلم تدريجي,مجال فرعي من تعلّم الآلة يركز على تحسين الخوارزميات من خلال التعلّم من البيانات المحدودة أو الاستفادة من رؤى المهام السابقة.
Metalearning,تعلم عملية التعلم,تصميم شبكة عصبية ترشيحية يحل فيها الترشيح القابل للفصل عمقاً محل عمليات الترشيح التقليدية.
Depthwise Separable Convolutional Neural Network,شبكة عصبية ترشيحية قابلة للفصل عمًقا,مقياس اقترحه آلان تورينج لتقييم قدرة الآلة على إظهار ذكاء شبيه بالذكاء البشري.
Turing Test,اختبار تورينج,معيار خصوصية في تعلُّم الآلة يضمن أن تحليل البيانات لا يضر بخصوصية بيانات الأفراد.
Differential Privacy,خصوصية تباينية,آلية تطبّق الانتباه الذاتي عدة مرات بشكل متزامن على مواضع مختلفة من سلسلة الإدخال.
Multi-Head Self-Attention,انتباه ذاتي متعدد الرؤوس,نهج تعلّم شبه موجّه يستخدم فيه النموذج، بعد تدريبه على البيانات المسماة، توقعاته على البيانات غير المسماة لمواصلة تدريبه.
Self-Training,تدريب ذاتي,نموذج مصمم لمعالجة أو إنتاج البيانات عبر طرق وصيغ متعددة.
Multimodal Model,نموذج متعدد الصيغ,مقياس يحدد الفرق بين توزيعين احتماليين، وهو شائع الاستخدام في مهام التصنيف.
Cross-Entropy,الأنتروبيا التقاطعية,أسلوب في تعلّم الآلة يهدف إلى تكييف نموذج سبق تدريبه في مجال معيّن ليعمل في مجال مختلف ولكن له علاقة بالمجال الأول.
Domain Adaptation,تكييف المجال,إطار نظري يحدد الهياكل والعمليات الأساسية لنظام معين يظهر سلوكاً ذكياً، سواء كان هذا النظام اصطناعياً أو بيولوجياً.
Cognitive Architecture,بنية إدراكية,نهج في تعلّم الآلة الموزّع يدرّب النماذج عبر أجهزة متعددة باستخدام البيانات محلياً، مما يضمن خصوصية البيانات.
Federated Learning,تعلم متحد,طريقة تعلّم تجميعي تعمل على تحسين الاستقرار والدقة من خلال تدريب نماذج متعددة على مجموعات فرعية عشوائية من البيانات.
Bootstrap Aggregating,تجميع بوتستراب,نوع من التحيز تنشأ فيه الأحكام أو الافتراضات من ذكريات وتجارب العقل الباطن للفرد.
Implicit Bias,تحيز ضمني,مجال من مجالات الذكاء الاصطناعي يركز على الفهم والاستدلال بشأن الجوانب المكانية والزمانية بأسلوب مشابه للبشر.
Spatial-Temporal Reasoning,استدلال مكاني-زماني,طريقة حاسوبية مستوحاة من بنية الدماغ البشري ووظيفته، تهدف إلى تحسين كفاءة وسرعة الحواسيب.
Neuromorphic Computing,حوسبة عصبية,دراسة أداء الخوارزميات وتعقيدها، لتحديد مدى ملاءمتها لتطبيقات محددة.
Analysis of Algorithms,تحليل الخوارزميات,رسم بياني منظم تمثّل العقد الموجودة فيه الحجج، وتشير فيه الحواف إلى التعارضات أو العلاقات بين هذه الحجج.
Argumentation Framework,إطار الحجج,نوع من أنواع الذكاء الاصطناعي يمكنه أداء أي مهمة فكرية يستطيع الإنسان القيام بها، بما في ذلك القدرة على التكيّف وحل المشكلات والإبداع.
Artificial General Intelligence,ذكاء اصطناعي عام,لغة مبنية على لغة الترميز الموسعة (XML) مصممة لإنشاء تطبيقات معالجة اللغات الطبيعية.
Artificial Intelligence Markup Language (AIML),لغة ترميز الذكاء الاصطناعي,طريقة منهجية تزوّد خوارزميات تعلُّم الآلة بإطار منظم لتعريف المشكلة وحلها.
Automated Reasoning,استدلال مؤتمت,قدرة النظام على إدارة موارده بشكل مستقل دون تدخل بشري.
Autonomic Computing,حوسبة ذاتية,أسلوب تفكير منطقي يبدأ من الهدف ويعود إلى تحديد البيانات أو الأدلة الداعمة له.
Backward Chaining,تسلسل عكسي,مجموعات بيانات ضخمة تتميّز بحجمها وتنوعها وسرعتها، مما يستلزم تقنيات قابلة للتوسع من أجل إدارتها وتحليلها بفعالية.
Big Data,بيانات ضخمة,ممارسة تحليل مجموعات البيانات الكبيرة والشاملة للكشف عن الرؤى والأنماط والاتجاهات التي سيتم الاسترشاد بها في عملية صنع القرار.
Big Data Analytics,تحليلات البيانات الضخمة,مجال من مجالات الذكاء الاصطناعي يركز على تمكين الآلات من وضع افتراضات حول المواقف اليومية بطريقة تشبه الحدس البشري.
Commonsense Reasoning,استدلال بديهي,مجال يستمد الإلهام من المبادئ البيولوجية واللغوية لتطوير المنهجيات الحاسوبية، بما في ذلك الشبكات العصبية والأنظمة الضبابية.
Computational Intelligence (CI),ذكاء حوسبي,البيانات التي تجمعها المؤسسات أثناء العمليات العادية، ولكنها لا تُستخدم بشكل نشط في التحليلات أو لأغراض أخرى.
Dark Data,البيانات المظلمة,عملية دمج البيانات من مصادر مختلفة في قاعدة بيانات متماسكة وموحدة.
Data Integration,تكامل البيانات,عملية إنشاء تمثيل مفاهيمي للبيانات، وتحديد علاقاتها، من أجل تخزينها في قواعد البيانات.
Data Modelling,نمذجة البيانات,وسائط اصطناعية يُستبدل فيها الشخص في صورة أو فيديو أو مقطع صوتي بشخص آخر باستخدام خوارزميات متقدمة.
deepfake,تزييف عميق,أسلوب في ذكاء السرب مستوحى من سلوك الديدان المضيئة، يُستخدم لتحسين الدالة متعدّدة الصيغ.
Glowworm Swarm Optimization,تحسين سرب الدودة المضيئة,نموذج تحليلي تُدمج فيه معالجة البيانات بسلاسة داخل قاعدة البيانات نفسها.
