0 Channels,0 canal,0 Kanäle,0 قنوات
Previous Chapter/Movie,Chapitre/Film précédent,Vorheriges Kapitel/Film,الفصل/الفِلم السابق
Previous video or chapter,Vidéo ou chapitre précédent,Vorheriges Video oder Kapitel,الفصل أو الفِلم السّابق
Properties,Propriétés,Eigenschaften,الخصائص
Provides the “Skip to” dialog,,,يوفّر مربع ”تخطَّ إلى“ الحواري
Python Console,Console Python,Python-Konsole,معراض بيثون
Python Debugger,Débogueur Python,Python-Debugger,منقّح بيثون
Quit,Quitter,Beenden,أنهِ
Rating,Appréciation,Bewertung,التقييم
Recent files,Fichiers récents,Zuletzt verwendete Dateien,الملفات الحديثة
Records (S)VCDs or video DVDs,,,يسجل ‪(S)VCD‬ أو دي‌ڤي‌دي فيديو
Repeat mode,Lecture en boucle,Endlosschleife,نمط الإعادة
Replace,Remplacer,Ersetzen,استبدِل
Reset to Defaults,Rétablir les valeurs par défaut,Auf Vorgaben zurücksetzen,أعِد الضبط للمبدئيات
Resolution,Définition,Auflösung,الميز
Results for “%s”,Résultats pour « %s »,Ergebnisse zu »%s«,نتائج ”%s“
Romanian,Roumain,Rumänisch,روماني
Rotate ↶,Tourner ↶,Drehen ↶,أدر ↶
Rotate ↷,Tourner ↷,Drehen ↷,أدر ↷
Rotation Plugin,Greffon de rotation,Drehungs-Erweiterung,ملحق التدوير
Subtitles,,,الترجمات
Sample rate:,,,نسبة التردد:
Saturation:,,,التشبّع:
Save Copy,Enregistrer la copie,Eine Kopie speichern,احفظ نسخة
Save Gallery,Enregistrement de la galerie,Galerie speichern,احفظ المعرض
Save a copy of the currently playing movie,Enregistrement d’une copie de la vidéo en cours de lecture,Eine Kopie des gegenwärtig abgespielten Films speichern,احفظ نسخة من الفلم المُشغّل حاليًا
Saving gallery as “%s”,Enregistrement de la galerie sous « %s »,Galerie als »%s« speichern,يحفظ المعرض باسم ”%s“
Screen Saver,Économiseur d’écran,Bildschirmschoner,حافظة الشاشة
Screenshot,Capture,Bildschirmfoto,لقطة شاشة
Screenshot from %s - %d.png,Capture de %s - %d.png,Bildschirmfoto von %s - %d.png,لقطة شاشة من %s - %d.png
Screenshot from %s.png,Capture de %s.png,Bildschirmfoto von %s.png,لقطة شاشة من %s.png
Screenshot width (in pixels):,Largeur de la capture d’écran (en pixels) :,Breite des Bildschirmfotos (in Pixel):,عرض لقطة الشاشة (بالبكسل):
Search,Rechercher,Suche,ابحث
Search Error,Erreur lors de la recherche,Fehler beim Suchen,خطأ في البحث
Searching for subtitles…,Recherche de sous-titres en cours…,Untertitel werden gesucht …,يبحث عن الترجمات…
Searching subtitles…,Recherche des sous-titres en cours…,Untertitel werden gesucht …,يبحث عن الترجمات…
Season %d Episode %d,Saison %d épisode %d,Staffel %d Folge %d,جزء %d حلقة %d
Seek,Rechercher,Suchen,اسعَ
Seek Backwards,Retour rapide,Zurückspulen,اسعَ إلى الخلف
Seek Forwards,Avance rapide,Vorspulen,اسعَ إلى الأمام
Select,Sélectionner,Auswählen,اختر
Select All,Tout sélectionner,Alle auswählen,اختر الكل
Select None,Ne rien sélectionner,Nichts auswählen,اختر لا شيء
Select Subtitle Font,,,اختر خط الترجمة
Select Text Subtitles,Sélection des sous-titres,Untertitel auswählen,اختر ملف ترجمة
Send notifications of currently-playing videos and allow remote control using MPRIS.,Envoyer des notifications pour les films en cours de visionnement et permettre le contrôle à distance avec MPRIS.,Benachrichtigungen über derzeit abgespielte Videos senden und entferntes Steuern mit MPRIS ermöglichen.,ملحق لإرسال إخطارات الأفلام المُشغلة حاليًا إلى نظام D-Bus الفرعي.
Set your Instant Messenger status to away when a movie is playing,Paramètre l’état de la messagerie instantanée à « non disponible » quand un film est en cours de lecture,"Setzt den Sofortnachrichten-Status auf »Abwesend«, wenn ein Video abgespielt wird",عيّن حالة المرسال الفوري إلى بعيد عند تشغيل فِلم
Sets the user agent for the Apple Trailers site,Définit l’agent utilisateur pour le site Apple Trailers,Richtet den Benutzeragenten für die Apple-Trailers-Webseite ein,يحدد عميل المستخدم لموقع Apple Trailers
Sets the user agent for the Vimeo site,Définit l’agent utilisateur pour le site Vimeo,Richtet den Benutzeragenten für die Vimeo-Seite ein,يحدد عميل المستخدم لموقع Apple Trailers
Shuffle,Aléatoire,Zufallsmodus,اخلط
Skip,Sauter,Springen,تخطّ
Skip To,,,تخطّ إلى
Skip to…,,,تخطَّ إلى…
Some necessary plug-ins are missing. Make sure that the program is correctly installed.,Des greffons indispensables manquent. Assurez-vous que le programme est correctement installé.,"Einige benötigte Erweiterungen fehlen. Stellen Sie sicher, dass das Programm korrekt installiert ist.",بعض الملحقات الضرورية غير متوفرة. الرجاء التأكد من أن البرنامج مثبّت بسلامة.
South European,Europe du sud,Südeuropäisch,جنوب أوروبي
Speed,Vitesse,Abspielgeschwindigkeit,السرعة
Speed: %s,Vitesse : %s,Geschwindigkeit: %s,السرعة: %s
Square,Carré,Quadratisch,مربع
Step back one frame,Reculer d’une image,Schritt zurück zum vorherigen Einzelbild,تخط إطارا واحدا للخلف
Step forward one frame,Avancer d’une image,Schritt vor zum nächsten Einzelbild,تخط إطارا واحدا للأمام
Stereo,Stéréo,Stereo,ستريو
Subtitle,Sous-titre,Untertitel,ترجمات
Subtitle Downloader,Téléchargement de sous-titres,Untertitel-Downloader,مُنزّل الترجمات
Subtitle language:,Langue des sous-titres :,Untertitel-Sprache:,لغة الترجمة:
Subtitle encoding,Codage des sous-titres,Untertitelkodierung,ترميز الترجمة
Subtitle files,Fichiers de sous-titres,Untertitel-Dateien,ملفات الترجمة
Subtitle font,Police des sous-titres,Untertitelschrift,خط الترجمة
Subtitle language,Langue des sous-titres,Untertitel-Sprache,لغة الترجمة
Subtitles,Sous-titres,Untertitel,الترجمات
Support additional media player keys,,,دعم أزرار مشغّلات الوسائط الإضافية
Support infrared remote control,,,دعم جهاز التحكم بالأشعة تحت الحمراء
Surround,Surround,Surround,محيطي
Switch Angles,Changer d’angle,Blickwinkel wechseln,بدّل الزوايا
Take Screenshot,Faire une capture d’écran,Bildschirmfoto aufnehmen,خذ لقطة للشاشة
Take Screenshot,Faire une capture d’écran,Bildschirmfoto aufnehmen,خذ لقطة للشاشة
Thai,Thaï,Thai,تايلندي
The MediaPlayer2 object does not implement the ‘%s’ interface,,,لا ينطبق كائن MediaPlayer2 على واجهة '%s'
The brightness of the video,La luminosité de la vidéo,Die Helligkeit des Videos,درجة سطوع الفيديو
The connection to this server was refused.,La connexion à ce serveur a été refusée.,Die Verbindung zu diesem Server wurde abgewiesen.,رُفِض الاتصال بهذا الخادوم.
The contrast of the video,Le contraste de la vidéo,Der Kontrast des Videos,تباين ألوان الفيديو
The file does not exist.,,,الملف غير موجود.
The file you tried to play is an empty file.,Le fichier que vous essayez de lire est un fichier vide.,"Die Datei, die Sie wiedergeben wollten, ist leer.",الملف الذي حاولت تشغيله خال.
The hue of the video,La teinte de la vidéo,Der Farbton des Videos,تدرّج ألوان الفيديو
The language to search for subtitles for movies in.,La langue à rechercher pour le sous-titrage des films.,"Die Sprache, in der nach Filmuntertiteln gesucht werden soll.",اللغة المستخدمة للبحث عن ترجمات للأفلام.
The movie could not be read.,Le film n’a pas pu être lu.,Der Film konnte nicht gelesen werden.,تعذّر قراءة الفيلم.
The movie could not be recorded.,,,تعذّر تسجيل الفِلم.
The playlist “%s” could not be parsed. It might be damaged.,Impossible de lire la liste de lecture « %s ». Peut-être est-elle endommagée.,"Die Wiedergabeliste »%s« konnte nicht verarbeitet werden, möglicherweise ist sie fehlerhaft.",تعذّر تحليل قائمة التشغيل '%s'، قد تكون تالفة.
The property ‘%s’ is not writeable.,,,الخاصية '%s' غير قابلة للكتابة.
The saturation of the video,La saturation de la vidéo,Die Sättigung des Videos,تشبّع ألوان الفيديو
The server refused access to this file or stream.,Le serveur a refusé l’accès à ce fichier ou ce flux.,Der Server hat den Zugriff auf die Datei oder den Datenstrom verweigert.,رفض الخادوم الوصول لهذا الملف.
The server you are trying to connect to is not known.,Le serveur auquel vous tentez de vous connecter est inconnu.,"Der Server, zu dem eine Verbindung aufgebaut werden soll, ist unbekannt.",الخادوم الذي تحاول الاتصال به مجهول.
The specified movie could not be found.,Le film spécifié n’a pas pu être trouvé.,Der angegebene Film konnte nicht gefunden werden.,تعذّر إيجاد الفيلم المحدد.
The video could not be made available offline.,La vidéo n’a pas pu être rendue disponible hors ligne.,Das Video konnte nicht offline zur Verfügung gestellt werden.,تعذّرت نسخ قرص الفيديو.
The video disc could not be duplicated.,,,تعذّرت نسخ قرص الفيديو.
This file cannot be played over the network. Try downloading it locally first.,Impossible de lire ce fichier via le réseau. Essayez de le télécharger sur disque au préalable.,Diese Datei kann nicht über das Netzwerk abgespielt werden. Versuchen Sie die Datei vorher herunterzuladen.,تعذّر تشغيل هذا الملف عبر الشبكة. حاول أن تنزّل الملف محليا أولًا.
This file is encrypted and cannot be played back.,Ce fichier est chiffré. Il ne peut donc pas être lu.,Die Datei ist verschlüsselt und kann nicht wiedergegeben werden.,هذا الملف معمّى ولا يمكن تشغيله.
This is not supposed to happen; please file a bug report.,"Ce problème n’est pas censé se produire, veuillez remplir un rapport d’anomalie.","Dies sollte eigentlich nicht passieren, bitte schicken Sie einen Fehlerbericht ein.",لا يفترض أن يحدث هذا. رجاءً أبلِغ عن هذه العلة.
This location is not a valid one.,L’emplacement n’est pas valide.,Dieser Ort ist ungültig.,هذا ليس مكانا صحيحا.
Title %d,Titre %d,Titel %d,عنوان %Id
Title:,,,العنوان:
Toggle Fullscreen,Basculer en mode plein écran,Vollbild ein- oder ausschalten,بدّل ملء الشاشة
Toggle fullscreen,Basculer en mode plein écran,Vollbild ein- oder ausschalten,بدّل ملء الشاشة
Totem Python Console,,,معراض بيثون لتوتم
Totem could not display the help contents.,,,عجز توتم عن عرض محتويات المساعدة.
Totem could not get a screenshot of the video.,,,عجز توتم عن أخذ لقطة شاشة لهذا الفيديو.
Totem could not play “%s”.,,,عجز توتم عن تشغيل ”%s“.
Totem could not startup.,,,عجز توتم عن بدء التشغيل.
Turkish,Turque,Türkisch,تركي
Type of audio output to use,Type de sortie audio à utiliser,Zu verwendender Audio-Ausgabetyp,نوع خرْج الصوت المُستخدَم
Unable to play the file,Impossible de lire le fichier,Die Datei kann nicht wiedergegeben werden,تعذّر تشغيل الملف
Unable to write a project.,,,تعذّرت كتابة مشروع.
Unicode,Unicode,Unicode,يونيكود
Unknown,,,مجهول
Unknown property ‘%s’ requested of a MediaPlayer 2 object,,,'%s' خاصية غير معروفة مطلوبة من كائن MediaPlayer2
Variable Rate,Débit variable,Variable Abspielgeschwindigkeit,معدل متغير
Verify your system installation. Totem will now exit.,,,تحقق من تثبيت نظامك. سيخرج توتم الآن.
Video,Vidéo,Video,فيديو
Video Disc Recorder,,,مسجّل أقراص الفيديو
Video files,Fichiers vidéo,Videodateien,ملفات الفيديو
Video;Movie;Film;Clip;Series;Player;DVD;TV;Disc;,,,فلم;فيلم;أفلام;فديوم;كليب;اسطوانة;
Videos,Vidéos,Videos,فيديو
Vietnamese,Vietnamien,Vietnamesisch,فيتنامي
View,Affichage,Ansicht,عرض
Volume,Volume,Lautstärke,شدة الصوت
Volume Down,Baisser le son,Leiser,أخفِض الصوت
Volume Up,Monter le son,Lauter,ارفع الصوت
Western,Occidental,Westlich,غربي
Whether to autoload text subtitle files when a movie is loaded,Indique s’il faut charger automatiquement les fichiers de sous-titrage avec le film,"Legt fest, ob Untertitel beim Laden eines Filmes automatisch geladen werden sollen",ما إن كان يجب تحميل ملف الترجمة النصيّ آليًا عند تحميل فِلم
Whether to disable deinterlacing for interlaced movies,Indique s’il faut désactiver le désentrelacement pour les vidéos entrelacées,"Legt fest, ob das Deinterlacing für aus Halbbildern bestehende Videos deaktiviert werden soll",ما إن كنت تريد تعطيل فك التداخل للأفلام المتداخلة
Whether to disable the keyboard shortcuts,Indique s’il faut désactiver les raccourcis clavier,"Legt fest, ob die Tastenkombinationen deaktiviert sein sollen",ما إن كنت تريد تعطيل اختصارات لوحة المفاتيح
Whether to disable the plugins in the user’s home directory,Indique s’il faut désactiver les greffons dans le répertoire personnel de l’utilisateur,"Legt fest, ob die Erweiterungen im persönlichen Ordner des Benutzers deaktiviert werden sollen",ما إن كنت تريد تعطيل الملحقات الموجودة في دليل منزل المستخدم
Year:,,,السنة:
You are not allowed to open this file.,L’ouverture de ce fichier n’est pas permise.,"Es ist Ihnen nicht gestattet, diese Datei zu öffnen.",ليس مسموحا لك بفتح هذا الملف.
You can access the Totem.Object through “totemobject” :\n%s,Vous pouvez accéder à Totem.Object via « totemobject » :\n%s,Sie können auf das Totem.Object über »totemobject« zugreifen:\n%s,يمكنك الوصول إلى Totem.Object عبر 'totemobject' ‏:\n%s
Zoom In,,,كبّر
Zoom in,,,كبّر
Zoom out,,,صغّر
Add,Ajouter,Hinzufügen,أضف
Angle Menu,Menu angle,Kameramenü,قائمة الزوايا
Aspect Ratio,Rapport d’affichage,Ansichtsverhältnis,نسبة العرض
Audio output type:,,,نوع خرج الصوت:
Brightness:,,,السطوع:
Cancel,Annuler,Abbrechen,ألغِ
Chapter Menu,Menu chapitre,Kapitelmenü,قائمة الفصول
Close,Fermer,Schließen,أغلق
Create Video Disc…,,,أنشئ قرص فيديو…
DVD Menu,Menu DVD,DVD-Menü,قائمة دي‌ڤي‌دي
Download Movie Subtitles…,Télécharger les sous-titres du film…,Film-Untertitel herunterladen …,نزّل ترجمات الفِلم…
Eject,Éjecter,Auswerfen,أخرِج
Encoding:,,,الترميز:
Find in %s,Le chercher dans %s,In %s suchen,ابحث في %s
Font:,,,الخط:
Help,Aide,Hilfe,مساعدة
Hue:,,,الفارق بين الألوان:
Keyboard Shortcuts,Raccourcis clavier,Tastenkürzel,اختصارات لوحة المفاتيح
Languages,,,اللغات
Load subtitle files when movie is loaded,Charger les fichiers de sous-titrage au chargement du film,"Untertitel laden, sobald ein Video geladen wird",حمّل ملفات الترجمة عند تحميل الفِلم
Open,Ouvrir,Öffnen,افتح
Play with Subtitle,Lire avec les sous-titres,Untertitel anzeigen,شغّل مع الترجمة
Properties,Propriétés,Eigenschaften,خصائص
Python Console,Console Python,Python-Konsole,معراض بيثون
Repeat,En boucle,Endlosschleife,أعِد
Rotate ↷,Tourner ↷,Drehen ↷,أدر ↷
Save,Enregistrer,Speichern,احفظ
Select Text Subtitles…,Sélection des sous-titres…,Text-Untertitel auswählen …,اختر ملف ترجمة…
Skip To,,,تخطّ إلى
Skip To…,,,تخطّ إلى…
Skip to:,,,تخطَّ إلى:
Title Menu,Menu titre,Titelmenü,قائمة العنوان
org.gnome.Totem,,,org.gnome.Totem
rpdb2 password,Mot de passe rpdb2,rpdb2-Passwort,كلمة مرور rpdb2
× 0.75,"× 0,75",0.75-fach,× ٠٫٧٥
× 1.1,"× 1,1",1.1-fach,× ١٫١
× 1.25,"× 1,25",1.25-fach,× ١٫٢٥
× 1.5,"× 1,5",1.5-fach,× ١٫٥
× 1.75,"× 1,75",1.75-fach,× ١٫٧٥
