A Posteriori,مابعدي
A Priori,ماقبلي
A Priori Pessimism,نزعة تشاؤمية قبلية
Abrogation,إقصاء
Abyss,هاوية
Active Thought,فكر فاعل
Aesthetics,جماليات/ فلسفة الجمال
Africanness,أفريقوية
Alienation,اغتراب
Alterity,تغير/ غيرية
Ambivalence,ازدواجية، تضارب/ تأرجح بين نقيضين
Anagram,جناس تصحيفي
Analogy,قياس التماثل
Anomaly,حالة شاذة
Anonymity,غفلية
Antagonism,عداء
Anthology,مجموعة مقتطفات/ دارسات
Anthropology,إناسة
Anti-Idealism,مناهض للمثالية
Anti-Platonism,مناهض للأفلاطونية
Applied Rationalism,عقلانية تطبيقية
Appropriation,استيعاب
Arbitrariness,طبيعة اعتباطية
Archaeology of Knowledge,أركيولوجيا المعرفة
Architextuality,نصية رئيسية
Archives,سجلات (أرشيف)
Argument,حجة
Artillery,مدفعية
Aspectuality,نظرة من جانب معين
Assumptions,فروض
Aura,هالة
Axiomatic Method,طريقة بديهية
Axiomatically,بديهي
Banality,تفاهة
Barren,عاقر
Being,كينونة
Binary Code,شفرة ثنائية
Binary structuration,بنيوي ثنائي
Biographer,كاتب السير الذاتية
Canonical,معياري
Capitalism,رأسمالية
Caprice,نزوة
Categorical Imperative,التزام أو إلزام مطلق
Category,فئة
Centre,مركز
Chronic,مزمن
Chronotope,إطار زماني/ مكاني
Cinematographic Signifier,دالة متعلقة: بالتصوير السينمائي
Closure,خاتمة
Code,شفرة
Cognitive Capacity,قدرة معرفية
Collage,مجموعة ملصقات
Colonialist criticism,نقد كولونيالي
Colony,مستعمرة
Communicative Action,فعل تواصلي
Complicity,تورط
Conceptual,مفاهيمي
Conceptualization,صياغة المفاهيم
Concrete,عيني
Condensation,تكثيف في نشاط الأحلام
Conditional culture,ثقافة مشروطة
Conflictual Action,فعل متعارض مع النظام الاجتماعي
Connotation,معنى، مضمون، مفهوم
Content,محتوى
Context,سياق
Contingency,عرضية، طروء
Continuity,اتصالية
Conversion,تحول
Cross-cultural,عبر ثقافي
Cross-cultural imagination,خيال عبر الثقافي
Cross-national,عبر قومي
Decentring,إزاحة عن المكان
Decolonization,تخلص من الكولونيالية
Deconstruction,تفكيك
De-Doxification,تجريد الشيء من طبيعيته وثوابته
De-Doxifing,تجريد الشيء من طبيعيته
Deduction,استنتاج
Deferral,إرجاء
Demonstration,برهنة
De-Naturalization,تجريد الشيء مما يعتبر صفاته الطبيعية
Denotation,دلالة
Derelict,منبوذ
Determinism,حتمية
Detractor,منتقص من قيمة الشيء
Diachronic,تعاقبي
Diagesis,خطاب السرد بدون الكلام المباشر
Dialectic,جدلية
Dialectical Materialism,مادية جدلية
Dialogical,رواية قائمة على الحوار، حواري
Dialogism,حوارية
Dialogue,حوار
Difference,اختلاف
Differential,تفاضلي، تمايزي
Digitalization,طريقة رقمية في التشفير
Diglossic,ثنائية اللغة
Discontinuity,لاتاصالية
Discourse,خطاب
Discursive Practices,ممارسات خطابية
Discursive Subject,ذات خطابية
Dislocation,نزوح عن المكان/ خلع
Displacement,إزاحة/ انسلاخ
Distinctive Feature,سمة مميزة
Dogmatic,عقائدية جامدة
Doxa,عقيدة ثابتة
Duplex Structure,بنية مزدوجة
Duration,ديمومة
Dynamic,متحرك بحيوية
Economic Determinism,حتمية اقتصادية
Ego,الأنا
Elitism,حكم النخبة
Eloquence,بلاغة
Embodied Experience,تجربة متجسدة
Emigration,هجرة للإقامة في بلاد أخرى
Empiricism,تجريبية
Enactment,أداء اللغة
Englishness,إنجليزوية
Enlightenment,عصر التنوير
Epigraph,كتابة منقوشة على مبنى أو تمثال
Epistemological break,قطع معرفي
Epistemology,نظرية المعرفة
"Epoche, Bracketing",توقف ويسمى أيضا « بين قوسين »
Eroticism,مذهب جنسي (شهواني)/ شبق
Essences,ماهيات
Essentialism,نزعة جوهرية
Eternal Recurrence,عود أبدي
Ethics,أخلاقيات
Etymology,اشتقاق
Eurocentric,مركزية أوروبية
Europeanization,أوربة
Exchange Value,قيمة التبادل
Existence,وجود
Existentialism,وجودية
Extraterritoriality,ما وراء الإقليمية
Extreme Fatalism,جبرية متطرفة
Fantasy,خيال
Fascism,فاشية
Fate,مصير
Feminism,"نسوية/ مذهب الحركات النسوية المطالب بالمساواة
مع الرجل/ فلسفة الشؤون الأنثوية"
Fertility,خصوبة
Feudalism,إقطاعية
Filiation,بنوة
Floating Signifier,دالة عائمة
Form,صورة، شكل
Formalism,شكلانية
Forms of Mediation,أشكال التوسط
Fray,جدل
Fringe,حافة/ حاشية
Functives,دالان أو حدان عاملان
Gay,خليع
Gaze,نظرة تحديقية
Genealogy,سلالة، أصل
Generalised Equivocity,تعدد المعاني
Generative Grammar,علم النحو التوليدي
Genotext,أصل اللغة وأساسها
Genres,أصناف/ أنواع أدبية
Genres of Discourse,أصناف الخطاب
Given,معطى
Glossematics,غلوسماتيكا، علم الجبر اللغوي
Grammatology,علم الكتابة
Harmony,انسجام
Hegemony,هيمنة، سيطرة
Heritage,إرث
Hermeneutic,تأويلي، تفسيري
Heterogeneity,تغير الخواص أو العناصر/ تغاير
Hierarchy,تراتبية/ هرمية
Historicism,نزعة تاريخية
History of Events,تاريخ الأحداث
Holocaust,محرقة اليهود من قبل النازيين
Homogeneity,تجانس
Horizontal Thought,فكر أفقي
Humanism,إنسانوية
Hybrid,هجين
Hybridity,تهجين
Hyper-Normal,أكثر من السوي
Hyper-Reality,واقعية مفرطة
Hypertextuality,نصية مفرطة
Hypo-Normal,أقل من السوي
Hypothetico - Deductive,افتراضي/ استنتاجي
Iconoclastic,"من يهاجم المعتقدات و المؤسسات التي يراها خاطئة
أو غير معقولة"
Iconophilic,محبة الأيقونات
Id,ال «هو»
Idealism,مثالية
Idealization,أمثلة
Ideological Appropriation,استحواذ أو امتلاك الأيديولوجي
Idiolect,لغة الفردية
Impasse,مأزق
Inauthenticity,عدم الأصالة
Indeterminacy,عدم التحديد، اللاتحديد
Indianness,هندوية
Indifferent Conduct,سلوك اللامبالاة
Individualism,فردانية
Induction,استقراء
Inert,عاطل (عن التغير)
Inevitable Evolutionism,نزعة تطورية حتمية
Infra- Structure,بنية تحتية
In-Itself,شيء في ذاته
Inside,داخل
Insides,داخل النفس
Instrumental Rationalism,عقلانية أداتية
Instrumentalism,فلسفة ذرائعية
Insult,إهانة
Intellectual,عقلي
Interaction,تفاعل
Interlanguage,لغة بينية
Interpretant,مفسر، مستدل
Intersubjectivity,ذاتية مشتركة
Intertextuality,نصية بينية
Intuitionists,حدسيون
Irony,سخرية/ تهكم/ تعبير ساخر
Irreversibility,لامعكوسية
Isotopy,صفة التشابه بين النظائر
Language Competence,كفاءة لغوية
Language Game,لعبة اللغة
Langue,بناء نحوي
Lateralization,كتابة حرفية
Law of Contradiction,مبدأ/ أو قانون التناقض
Law of Excluded Middle,مبدأ/ قانون الثالث المرفوع
Law of Identity,مبدأ/ قانون الهوية الذاتية
Lesbian,سحاقي
Lifeworld,عالم الحياة
Linguistics,لسانيات
Literariness,رؤية أدبية
Living Present,حاضر حي
Logic of Ambivalence,منطق الازدواجية
Long Run,مدى طويل
Manichean aesthetics,جماليات مانوية
Manipulation,استغلال
Marginal,هامشي
Marginality,تهميش
Markedness,وشم
Marxism,ماركسية
Masochism,تلذذ بالتعذيب الجنسي للرفيق
Mathesis Universalis,رياضيات كلية
Meta Language,لغة عليا
Meta-Discourse,خطاب فوقي
Meta-Narrative,سرد فوقي
Metaphor,استعارة
Metaphoric,مجازي
Metatextuality,نصية فوقية
Metatheory,نظرية شارحة
Metonymy,كناية
Migration,انتقال حر
Modal Values,قيم صيغوية مشروطة
Model,نموذج
Modern Novel,قصة حديثة
Modernism,حداثوية
Mono centrism,مركزية أحادية
Monoglossic,أحادية اللغة
Morphological,صرفي
Multi-cultural,متعدد الثقافات
Mythology,علم الأساطير
Narcissism,نرجسية
Narrative Discourse,خطاب سردي
Nation hood,أمة
National,قومي
Nationalist,قوموي
Native,أهلي/ محلي/ قومي
Naturalism,طبيعانية
Negritude,زنوجة
Non-Identity,لاهوية
Normal,سوي
Normalcy,سواء
Norms,معايير
Nostalgia,حنين إلى الماضي
Nude,عار
Object,شيء
Objectification,"تشييء/ توضيع أو وضعنة، موضعة، جعل الشيء
 
موضوعا"
Objectivity,موضوعية
Odalisque,جارية
Ontogenesis,تطور الكائن الفرد
Ontology,علم الوجود
Open System,نظام مفتوح
Order,نظام
Orientalism,استشارق
Orientation,توجه
Orthodoxy,متشددة/ متطرفة
Otherness,ﺁخرية
Outcasts,منبوذون
Outside,خارج
Panoptic,ذو نظرة شاملة
Paradigm,نموذج/ مثال
Paradigmatic,مثال نموذجي
Paradox,مفارقة
Paratext,نص محاذ
Paratextuality,مشابهة للنص
Parody,محاكاة الساخر
Parole,حديث
Pathological,مرضي
Patronage,أبوي/ رعوي
Performance,أداء
Peripheral,طرفي
Perspectivism,منظورية
Phallus,قضيب الذكر/ رمز أو صورة للعضو الذكوري
Phenomenological Reduction,اختزال ظواهري
Phenomenology,ظواهرية
Phenomenon,ظاهرة
Phenotext,لغة التواصل
Philology,فقه اللغة
Phoneme (s),وحدات صوتية
Phonological,صوتي
Platonism,مذهب أفلاطوني
Poetics,بحث في الشعر
Polyglossic,تعددية اللغة
Polygluttural Technique,تقنية الإلصاق المتعدد
Polyphonic,متعدد الأصوات
Pornography,أعمال كتابية وتصويرية إباحية
Positivism,وضعية
Possession,حيازة
Post Marxism,مابعد الماركسية
Post Modernity,مابعد الحداثة
Post structuralism,مابعد البنيوية
Post-colonialism,ما بعد الكولونيالية
Post-European,ما بعد أوروبي
Post-modernism,ما بعد الحداثة
Post-structuralism,ما بعد البنيوية
Pragmatism,فلسفة براغماتية
Primitive,بدائي
Principle of performativity,مبدأ الأدائية
Principle of undecidability,مبدأ اللايقين
Process,صيرورة
Prolegomena,مقدمة
Protagonist,بطل القصة
Provincial,إقليمي
Psychoanalysis,تحليل نفسي
Psychologism,سيكولوجية
Psychosis,ذهان
Purport,فحوى
Purposive Rationalism,عقلانية قصدية
Quantum Physics,فيزياء الكم
Race,عنصر
Rape,اغتصاب (جنسي)
Ratio Difficilis,شفرة لغوية صعبة الاستيعاب
Ratio Facilis,شفرة لغوية سهلة الاستيعاب
Rationalism,عقلانية
Reactive Thought,فكر منفعل
Realism,واقعية
Reality,واقع
Received Standard English,إنجليزية قياسية مستقبلة
Recycling,تدوير
Reference,مرجعية
Referentialism,مذهب مرجعي
Reflexivity,انعكاسية
Regimes of Phrases,أنظمة للعبارات
Reification,تجسيد المجردات
Relational,علائقي
Representation,تمثيل
Repression,كبت
Revelation,إلهام/ كشف
Reversal,عكس
Reversibility,صفة المعكوسية
Revisionist,تنقيحي، رجعي
Revisionist Historians,مؤرخون تنقيحيون
Rhizomatic Network,شبكة جذمورية
Ruralization,ترييف
Sanitation,توفير الصحة وتعزيزها
Savageous,همجي
Scandal,فضيحة
Schemas,ترسيمات
Scopophilia,محبة المشاهد
Seduction,إغواء
Self-apprehension,إدراك ذاتي
Self-Reflexivity,تفكير انعكاسي ذاتي
Semanalysis,تحليل علاماتي
Semantic,إعطاء معان للرموز
Semantics,علم المعاني
Semilogy,علم العلامات
Semiotic Domain,مجال سميوطيقي
Semiotics,نظرية العلامات
Settler colony,مستعمرة المستوطنين
Sexuality,جنسانية
Shifter,متحول
Sign Content,محتوى العلامة
Sign Expression,تعبير العلامة
Sign-Function,وظيفة علامة
Signification,معنى، مغزى
Signified,مشار إليه
Signifier,علامة دالة
Sign-Vehicle,وسيلة نقل العلامة
Simulacra,صور زائفة
Simulacrum,صورة (زائفة)
Simulation,محاكاة
Singularity,فرادة
Skepticism,نزعة شكية
Social Integration,اندماج اجتماعي
Socialism,اشتراكية
Solipsism,توحد
Soul,نفس
Speech Acts,أفعال القول
Sponsorship,رعاية (كفالة)
Static,ساكن
Sterilization,تعقيم
Structural History,تاريخ بنيوي
Structural Semantics,علم المعاني البنيوي
Structuralism,بنيوية/ مذهب بنيوي
Stylization,صياغة بأسلوب معين
Subculture,ثقافة فرعية
Subject,موضوع
Subject Object Relationship,علاقة بين الذات و الموضوع
Subjective Values,قيم ذاتية
Subjectivity,ذاتية
Substantial,جوهري
Subversion,تقويض
Suggestive,إيحائية
Super- Structure,بنية فوقية
Superego,الأنا العليا
Superman,إنسان أسمى
Surrationalism,مافوق العقلانية «سارشونالية»
Surrealism,سريالية، ما فوق الواقع
Surrogate,بديل
Symptomatic Reading,قراءة تنقيبية
Synchronic,تزامني
Syncreticity,توفيق
Syntactic,إعرابي
Syntactic Actant,كيان الفاعل التركيبي
Syntactic Structures,تركيب نحوي
Syntagm,سنتاغم، علاقة تتابع تركيبية
Syntagmatic,تركيب تعبيري
Syntax,قواعد التركيب، النحو والإعراب
Syphilis,مرض الزهري
Systems,أنساق
Tautology,تحصيل حاصل
Teleology,غائية
Textuality,نصية
Thermodynamics,ديناميكا حرارية
Tonality,نغمية
Total Narration,سرد كلي
Totalitarian Regimes,أنظمة شمولية
Totalitarianism,نزعة شمولية
Totality,كلية
Totalization,تحويل إلى كليات
Traditions,تقاليد
Transcendence,تعال، تسام، تجاوز
Transcendental Subject,ذات ترنسندنتالية
Transcultural dialogues,متعدي الثقافات
Transformational Grammar,علم النحو التحويلي
Transgression,انتهاك
Trans-Linguistic,عبر لغوي
Transparency,شفافية
Transtextuality,عبر النص
Truth,حقيقة
Uncanonized,غير مجاز وفق القواعد
Uncertainty,عدم اليقين
Unconscious,لاوعي
Unconscious,لا وعي
Undecidable Logic,منطق عدم التحديد
Universal,عالمية
Universalise,إحالة إلى الكلي
Universalism,كونية
Unlimited Semiosis,استخدام العلامات اللامحدود
Unmarkedness,عدم الوشم
Use-Value,قيمة الاستخدام
Utilitarianis,مذهب نفعي
Validity,صحة/ شرعية
Veracity,حقيقة/ صدق
Verification,تحقق
Verisimilitude,مظهر الحقيقة
Vertical Thought,فكر عامودي
Virtual Reality,واقع افتراضي
Vita-Activa,حياة فعلية
Vita-Contempletiva,حياة تأملية
Vitalism,نزعة حيوية
Voluntarism,نزعة إرادية
Voyeurism,تلصص بالنظر
Whore,مومس
