3-D Seismics,زلزاليات ثلاثية الأبعاد
807 production,إنتاج بحسب القانون 807
807A (Super 807),قانون 807
9802 production,إنتاج بحسب القانون9802
Abatement,تقليص
Absolute advantage,ميزة مطلقة
Absolute Zero,صفر مطلق
Absorption,امتزاز (امتصاص التصاقي)
Accelerating universe,كون متسارع
Acceleration,تسارع
Access,نفاذ
Accountability,حساب الأعمال
Accounting,علم تدوين الحسابات
Acquisition,تحصيل، اقتناء
Acquisition Logistics,إدارة الاقتناء
Action,إجراء
Activity (activities),نشاط (أنشطة)
Adamantine/ Diamondoid,شبيه الماس
Adaptive Maintenance,صيانة تكيفية
Adjustment,توافق
Adjustment costs,كلف التسوية
Administration,إدارة
Adult Stem Cell,خلية جذعية بالغة
Advanced,قبلي
Advanced Planning,تخطيط قبلي
Aerovore,ﺁكل الهواء
Agency,وكالة
Aggregate demand,طلب محتشد
Agile Manufacturing,تصنيع رشيق
Agnosticism,مذهب اللاأدرية
Agreements,اتفاقات
Aim(s),غاية (غايات)
Algebraic Geometry,هندسة جبرية
Align,حاذى
Alignment,محاذاة
Allocated Baseline,منطلق التشكيلة المقرة
Alzheimer,ألزهايمر
Ambient Intelligence,ذكاء محيط
American Petroleum Institute (API),معهد النفط الأميركي
Amplifier,مضخم
Amplitude,سعة
Analogous,تماثلي
Analogous Estimate,تخمين تماثلي
Analysis,تحليل
AND Logic Gate,بوابة قارن منطقية «و»
Android Robot,روبوت ذو شكل شبيه بالإنسان
Angular Velocity,سرعة زاوية
Antenna,هوائي
Anthropometric,مقاسات الأجسام البشرية
Antibiotic,مضاد حيوي
Anticline,طية محدبة
Anti-dumping duties,ضرائب ضد الإفراغ
Antimatter,مادة مضادة
Antiquark,كوارك مضاد
Apparel industry,صناعة اللباس
Apparel licensing,ترخيص اللباس
Apparel marketing,تسويق اللباس
Apparel merchandising,اتجار باللباس
Apparent consumption,استهلاك ظاهري
Apparent Position,موضع ظاهري
Approach,نهج
Architecture,بنيان
"Architecture, product",بنية المنتج
Arm's length trade,تجارة مباشرة
Aromatic Hydrocarbons,هيدروكاربونات عطرية
"Arrangement regarding international trade
in textile also known as Multifiber
Arrangement or MFA","اتفاق تجارة النسيج الدولية وتعرف أيضا باتفاق
الخيوط المتعددة الجوانب MFA "
Arthroscope,جهاز تنظير طبي
Arthroscopic Surgery,جارحة تنظيرية
Artificial fibers,خيوط اصطناعية
Artificial Intelligence,ذكاء اصطناعي
Assembly,كتلة مجمعة
Assessment,تقدير
Assignment,تكليف
Associated Gas,غاز مصاحب
Association,تعاونية
Associative Memory,ذاكرة مضمنة (في الحاسوب)
Astrocyte,خلية التام جرح نجمية
Astronomical Unit,وحدة فلكية
Astrophysics,فيزياء فلكية
Atom,ذرة
Atomic Force Microscope,مجهر القوة الذرية
Atomic Number,عدد ذري
Attitudes,مواقف
Authority,سلطة
Automate,أتمت
Automation,أتمتة
Autopilot,طيار ﺁلي
Availability,تيح، جهوزية
Availability/ Readiness,جهوزية
Axle,محور
Backups,احتياط
Backward integration,تكامل خلفي
Bahamas Rule,قاعدة الباهاما
Balance of trade,ميزان تجاري
Band gap,فجوة نطاق موجي
Bar Chart,مخطط قضباني
Bar Code,رماز قضباني
Barriers to entry,حواجز الدخول
Base Load,حمل أساسي (في شبكات الكهرباء)
Base Rock,قاعدة صخرية
Baseline,منطلق
Baseline Management,إدارة المنطلق
Basket extractor,ﺁلية السحب من السلة
Bearing,محمل
Behavior,سلوك
Benchmark,مرجع مقارنة
Benchmark Price,سعر إشارة (سعر مرجعي)
Benchmarking,مقارنة مرجعية
Bilateral agreements,اتفاقيات ثنائية
Binomial Distribution,توزع ثنائي
Bio Energy,طاقة حيوية
Biochip,رقاقة بايولوجية
Biodiversity,تنوع حيوي
Biomass,كتلة حيوية
Biomass,كتلة حيوية
Biomimetics,محاكاة بيولوجية
Bionics,بيونيات
Bioresonance,تناغم حيوي
Biosphere,بايوسفير/ محيط حيوي
Biotechnology,تكنولوجيا حيوية
Biotechnology,تكنولوجيا حيوية (بايوتكنولوجيا)
Biovore,ﺁكل الحيويات
Black Hole,ثقب أسود
Block,لبنة ، مؤطر، صندوق
Block Diagram,مخطط صندوقي
Blog/ Web Log,مدونة
Boiler,مرجل (غلاية)
Bond,ﺁصرة (اربطة)
Boolean Algebra,جبر بولياني
Bottom-up,صعودي
Bound State,حالة مقيدة
Boundary Layer,طبقة محاددة
Brainstorming,عصف دماغي/ تحريض أفكار
Breakdown,تجزئة
Breakeven Analysis,تحليل الربح والخسارة
Break-even time,زمن التعادل (بين الكلفة والعائدات)
Breakthrough(s),فتح (فتوح)
British Aerospace,مؤسسة الفضاء البريطانية
British Thermal Unit (BTU),وحدة حرارية بريطانية
Bucky Tube,أنبوب بكي
Bug,عثرة
Burden sharing,تقاسم العبء
Bureaucracy,بيروقارطية
Burn In,تشغيل إجهادي
Burn rate,معدل الحرق(يقصد به استهلاك الموازنة)
Burnout,استنفاد
Business,أعمال
Buying time,شراء الزمن
Buying-in,شراء
C.i.f. Values,قيم الكلفة والتأمين والشحن
Cable(s),كبل (كبال)
Call mechanism or consultation,ﺁلية النداء (أو ﺁلية الاستشارة)
Cam,أكرة
Cancer,سرطان
Cannibalization,"استخدام أجزاء من المنتج لترميم أو تنفيذ منتجات
جديدة"
Cap Rock,غطاء صخري
Capability,فعالية، مقدرة
"Capability Maturity Model Integration
(CMMI)",تكامل نموذج نضج الفعالية
Capacity,سعة، طاقة
Capacity utilization rate,معدل استعمال الإمكانية
Capita-intensive products,منتجات شديدة اعتماد على رأس المال
Capital,رأس مال
Capital deepening,تعميق رأس مال
Capitalism,رأسمالية
Capitalist economic systems,أنظمة اقتصادية رأسمالية
Capitalists,رأسماليون
Carbon Nano tubes,أنابيب نانوية كربونية
Cartesian Product,جداء ديكارتي
Casing,أنبوب تغليف (للبئر النفطي)
Castings,سكب
Catalysis,تحفيز
Catalyst,عامل حفاز
Catalytic Converter,محول حفاز
Category,فئة
Cause And Effect Diagram,مخطط السبب والمفعول
Cell,خلية
Cell Pluripotent,خلية متعددة الإمكانيات
Centrally planned,نظام التخطيط المركزي
Centrifugal Pump,مضخة نابذة عن المركز
Chain Reaction,تفاعل تسلسلي
Champion,بطل، ارئد
Change Control Board (CCB),لجنة ضبط التغيير
"Change, organizational",تغير تنظيمي
"Change, product",تغير بالمنتج
Channel control,ضبط القنوات
Channels of distribution,قنوات(سبل) التوزيع
Chaos Theory,نظرية الفوضى
Characteristic(s),خاصة، خاصية (خصائص، خواص)
Chatting,ثرثرة، تحادث
Check,تدقيق
Check list,قائمة تدقيق
Check out,فحص
Checks And Balances,رقابة متوازنة
Chemical Detectors,متحسس كيميائي
Chemotherapy,علاج كيميائي
Chip,رقاقة أو شريحة نصف ناقل
Chirality,لاناطباقية (في التركيب الكيميائي)
Circadian Rhythm,تواتر يومي (ساعة بايولوجية)
Circumvention,التفاف على القانون
Cloning,استنساخ حيوي(كلونة)
Closed economy (or market),اقتصاد مغلق (أو سوق مغلقة)
Closed Loop,حلقة مغلقة
Closed Loop System,نظام مغلق الحلقة
Code(s),رماز (أرمزة)
Cognitive,استعارفي
Coherence,تماسك
Cold Nuclear Fusion,اندماج نووي بارد
Collision,تضارب
Co-location,تجاور بالمكان
Color Charge,شحنة لونية
Combination Therapy,علاج توافقي
Commercial off the Shelf Product,منتج تجاري جاهز
Commission,لجنة/ مفوضية
Commitment,التازم
Committee,لجنة
Common market,سوق مشتركة
Common Sense,حس سليم
Commons,منطقة عامة
Communication,اتصالات
Communication Technology,تكنولوجيا الاتصالات
Communication Theory,نظرية الاتصالات
Company,شركة
Comparative advantage,ميزة نسبية (المقارنة)
Compatibility,توافق
Compatible,متوافق
Competitive advantage,ميزة تنافسية
Competitiveness,منافسة
Compiler,ترجمان (في علم الحاسوب)
Complexity,تعقيد
Complexity Theory,نظرية التعقيد
Compliance,استجابية (في منظومة ميكانيكية )
Computer Aided Design(CAD),تصميم مدعم بالحاسوب
"Computer Aided System Engineering
(CORE)",هندسة النظم بمساعدة الحاسوب
Computer Chip,رقاقة حاسوبية
"Computer Software Configuration Item
(CSCI)",عنصر إعدادات برمجيات الحاسوب
Computer-Aided Manufacturing (CAM),تصنيع بمساعدة الحاسوب
Computer-aided Support (CAS),دعم بمساعدة الحاسوب
Computer-aided tools,أدوات التصميم بمساعدة الحاسوب
Computer-integrated Engineering,هندسة متكاملة حاسوبيا
Computer-Integrated Manufacturing (CIM),تصنيع متكامل حاسوبيا
Concentration or concentration ratio,تركيز أو نسبة التركيز
Conceptual Design,تصميم مفاهيمي
Concurrence,تنافس، تواز
Concurrent Engineering,هندسة متازمنة
Condensation,تكاثف
Configuration,تشكيلة
Configuration Control Board (CCB),لجنة ضبط التشكيلة
Configuration Identification (CI),تعريف التشكيلة
Configuration Management (CM),إدارة التشكيلة
Configuration Status Accounting (CSA),تقدير حالة التشكيلة
Conflict,تعارض
Congressional textile caucus,مكتب مجلس النواب للنسيج
Consciousness,وعي
Consultants,مستشارون
Consumer,مستهلك
Consumer confidence,ثقة المستهلك
Consumer cost of protection,كلفة المستهلك الناجمة عن الحماية
Consumer expenditure,إنفاق المستهلك
Contingencies,طوارئ
Contour,محيط (حدود شكل غير منتظم)
Contract,عقد
"Contract Work Breakdown Structure
(CWBS)",هيكل تجزئة عمل تعاقدي
Contraction,تقلص
Contractor,متعهد، متعاقد
Contradiction,تناقض
Control,تحكم، ضبط
Convection,حمل حراري
Corporation,شركة متحدة
Corrective Maintenance,صيانة إصلاحية
Correlation,ترابط
Correspondence Principle,قاعدة التوافق
Cosmic Radiation,إشعاع كوني
Cost,كلفة
"Cost Analysis Strategy Assessment
(CASA)",تقدير استراتيجية تحليل التكلفة
Cost basis,على أساس الكلفة
Cost Breakdown Structure (CWBS),هيكل تجزئة التكلفة
Cost-benefit analysis,تحليل الكلفة – الفائدة
Cost-effective,مجدي التكلفة
Cost-Plus-Fixed-Fee (CPFF) Contract,عقد التكلفة والأجر الثابت
Cost-plus-incentive-fee (CPIF),عقد التكلفة مع أجر تحفيزي
Cottage industries,صناعات الأكواخ(الورشات المنزلية)
Counter pressure groups,مجموعات الضغط المضاد
Countervailing duties,رسوم تعويضية/ ضرائب مضادة
Covalent Bond,ﺁصرة تساهمية
Cracking,تكسير
Crank Shaft,عمود قلاب
Creativity,إبداع
Creeping elegance,أناقة ازحفة
Criteria,معايير
Critical Density,كثافة حرجة
Critical Path Method (CPM),طريقة المسار الحرج
Cross-functionalism,تقاطع وظيفي
Cryogenics,زمهريريات
Culture,ثقافة
Customer,زبون
Customs union,اتحاد جمركي
Customs value,قيمة جمركية
Cyber Immortality,خلود سايبري
Cyborg,إنسان مسير ﺁليا
Cyborgization,سبرجة
Cycle length,طول الدورة
Danger(s),خطر (أخطار)، مخاطرة
Dark matter,مادة مظلمة
Data Format,مصاغة المعطيات
Debug,فلى
Debugging,تفلية
Decision making,صنع القرار
Decision rules,قواعد القرار
Decomposition,تحليل
Defect,عيب
Deficiency,عجز
Deliverables,توريدات
Delivery,توريد
Dependability,اعتمادية
Dependency theory,نظرية التبعية
Depleted Uranium,يوارنيوم منضب (مستنفد)
Deployment,استخدام/ نشر
Design,تصميم
Design Revision Notices (DRNs),ملاحظات مراجعة التصميم
Design-to,تصميم هادف
Devaluation,خفض قيمة العملة
Developed countries,دول متقدمة
Developing countries,دول نامية
Development,تنمية/ تطوير
Diagnosis,تشخيص
Digital Camera,ﺁلة تصوير رقمية
Digitization,رقمنة
Dimension,بعد
Direct foreign investment,استثمار أجنبي مباشر
Direct investment,استثمار مباشر
Directional Drilling,حفر مائل
Discipline,تخصص
Discrete Oil Phase,طور النفط الطليق
Discrete Symmetry,تناظر متقطع
Discriminatory restrictions,قيود تمييزية
Dispersion retailing,بيع التجزئة المبعثر
Dispersions,انتشار
Display,إظهار، لوحة إظهار
Dissatisfier,لامشبع
Distribution Curve,منحني التوزع
Disturbance,إثارة/ إقلاق/ اضطارب
Division of labor,تقسيم العمل
DNA,دي.أن. ﺂي.
Do-everything products,تعمل كل شيء
Dolomite Reservoir,مكمن حجر دولوميتي
Dome,قبة
Domestic content laws,قوانين ذات المحتوى المحلي
Domestic production,إنتاج محلي
Down Quark,كوارك سفلي
Downloading,تحميل ترحيلي (حاسوبيا )
Downstream activities,فعاليات تصريفية
Drag,إعاقة (للطائرات)
Drill Bit,لقمة حفر
Drilling Cores,الباب الحفر
Drilling Platform,منصة حفر
Drilling Rig,جهاز حفر
Drive Shaft,عمود إدارة
Drone,طائرة مسيرة (من دون طيار)
Dualism,ثنائية
Ducted Fan,مروحة ذات مجار
Dumped products,منتجات مفرغة
Durable goods,سلع دائمة
Duty,واجب
Dwarf,نجم قزم
Dynamic costs,كلف الديناميكية
Early Planning,تخطيط مبكر
Earth Satellite,تابع أرضي (قمر اصطناعي)
Ecologic Debt,دين إيكولوجي
Ecological Deficit,عجز إيكولوجي
Ecology,علم البيئة الحيوية/ إيكولوجيا
Economic development,تنمية اقتصادية
Economic integration,تكامل اقتصادي
Economic model,نموذج اقتصادي
Economic nationalism,سياسة وطنية اقتصادية
Economic system,نظام اقتصادي
Economic union,اتحاد اقتصادي
Economies of scale,اقتصاديات التوسع الحجمي
Economy,اقتصاد
Effect,مفعول
Effective,فعل
Effective,مجدي
Effectiveness,فاعلية/ كفاءة/ جدوى / فعالية
Efficiency,مردود
Efficient,مجدي
Electric Field,حقل كهربائي
Electron Microscope,مجهر إلكتروني
Electronic Microscope,مجهر إلكتروني
Electronic Portfolio (E-Portfolio),محفظة إلكترونية
Electronic Trailing (E-Trailing),تعقب إلكتروني
Electroweak,كهرضعيف
Elementary Particle,جسيم أولي
Embargo,حظر
Embryonic Stem Cell,خلية جذعية جنينية
Empowerment,تقوية، تفعيل
Emulsion,مستحلب
Enable,أهل
End point,نقطة النهاية
End-use products,منتجات جاهزة للاستخدام
Energy,طاقة
Energy Level,مستوى طاقي
Engine,ﺁلة محركة
Engineering,هندسة
Engineering Change Proposal (ECP),مقترح تغيير هندسي
Engineering Change Request (ECR),طلب تغيير هندسي
Engineers,مهندسون
Enhanced Recovery,استخراج معزز
Enterprise,مشروع تجاري
Enterprise Resource Planning (MRP),تخطيط موارد المشروع
Entrepot,مستودع
Environment,بيئة
Environmental Impact,أثر بيئي
Environmental Impact Assessment (EIA),تقييم الأثر البيئي
Environmental Scanning,مسح بيئي
Equations of Motion,معادلات الحركة
Equilibrium price,سعر التوازن
Equipment,تجهيزات
"Equipment Designer’s Cost Analysis
System (EDCAS)",نظام مصمم التجهيزات لتحليل التكلفة
Error,خطأ
Establishment (plant),منشأة (مصنع)
Estimation,تخمين
Ethics,أخلاقيات
Ethnocentrism,استعراق
Eutactic,جيد التنظيم
Evaluation,تقييم
Event,حادثة
Evolutionary,تدرجي/ توسعي
Evolutionary Design,تصميم توسعي
"Examination, Check out",فحص
Exchange rates,معدلات الصرف
Exclusive or (exor),بوابة الجواز المقصور المنطقية
Expense,إنفاق
Experiment,تجربة
Experimentation,تجريب
Expert System,برنامج خبير
"Expert, technical",خبير تقني
Exponential Distribution,توزع أسي
Export subsidies,إعانات مالية للتصدير
Exporting countries,بلدان مصدرة
Exports,صادارت
Extrapolation,استقراء
Facilitator,مسهل
Facilities,إمكانيات، تسهيلات
Factor(s),عامل (عوامل)
Factors,وسطاء تجاريون
Factors of production,عوامل الإنتاج
Failure,إخفاق/ فشل
"Failure Mode, Effects and Criticality
Analysis (FMECA)",تحليل نمط الإخفاق ومفاعيله وخطورته
Failure Rate,معدل الإخفاق
Fair trade,تجارة عادلة
Fall Back,تارجع/ خط عودة
Fast track authority,سلطة المسار السريع
Fault,خلل
Fault,صدع(جيولوجي)
Features,خصائص
Feedback,تغذية مرتجعة/ راجعة
Fermion,فرميون
Fertilizer,سماد
"Fiber consumption or per capita Fiber
consumption",استهلاك الخيوط أو الاستهلاك الفردي للخيوط
Fiber Optics,ألياف ضوئية
"Fiber, Fabric and Apparel Coalition for
Trade FFACT",ائتلاف تجارة الخيوط والأقمشة واللباس
Field,حقل، أرض الواقع
Figure of Merit,رقم الأهمية
Finance,مالية
Finite Elements,عناصر منتهية
Fire fighting,مكافحة الحريق
Firm (or company),شركة
Firm-fixed-price (FFP) Contract,عقد السعر المثبت نهائيا
First cost,كلفة أولية
Fishbone Diagram,مخطط عظم السمكة
Fissure,شق (جيولوجي)
Flap,جنيح متحرك(في الطائرات)
Flavor,نكهة
Floating exchange,معدلات الصرف العائمة
Flow Diagram,مخطط انسيابي
Flow Shop,خط إنتاج ثابت
Flywheel,دولاب طيار
Focus group,فريق تركيز
Food Security,أمن غذائي
Fore sighting,تنبؤ
Forecasting,تنبؤ
Foreign buying offices,مكاتب الشراء الأجنبي
Foreign exchange,قطع أجنبي
Forging,طرق
Format,مصاغة
Forward integration,تكامل أمامي
Fossil Fuel,وقود أحفوري(فحم حجري/ نفط/ غاز)
Foundation,مؤسسة
Fragmentation,تجزيء
Free On Board (FOB),تسليم على السفينة
Free trade,تجارة حرة
Free trade Area (FTA),منطقة تجارة حرة
Free trade or liberalized trade,تجارة حرة أو متحررة
Free trade zone,منطقة التجارة الحرة
Frequency,تواتر
Frequent,متواتر
Front End,أمامي، قبلي / بداية (واجهة) أمامية
"Front End Analysis, Advanced",تحليل قبلي
Fuel Cell,خلية وقود
Fullerene,فولرين
Full-time involvement,انخراط كلي
Function,وظيفة، مهمة، تابع
Functional Approach,نهج وظيفي
Functional Baseline,منطلق وظيفي
Functional organization,تنظيم على أساس وظيفي
Functional Structure,بنية وظيفية
Futures Market,سوق مستقبلية
Fuzzy Measure,معيار ترجيحي
Gains from trade,مكاسب التجارة
Galilean Transformation,تحويل غاليليو
Game Theory,نظرية الألعاب
Gas Cap,قبة غازية
Gas Clathrates,بلورات غاز قفصية
Gas Hydrates,بلورات غاز مائية
Gear,ترس تعشيق
Generalist,عام، غير تخصصي
Generalized System of Preferences (GSP),GSP نظام التفضيل المعمم
Generation,جيل/ ذرية/ عائلة
Genetic Diversity,تنوع جيني
Genetically Modified Crops (GMC),محاصيل معدلة جينيا
Genomics,جينوميا
Gentlemen's agreement,اتفاق ودي
Geochemistry,كيمياء الأرض(علم)
Geodesic,متقاصر
Geophysics,فيزياء الأرض(علم)
Glider,طائرة شراعية
Global activities,فعاليات عالمية
Global products,منتجات عالمية
Global quotas,حصص محددة عالمية
Global retailers,باعة التجزئة
Global retailers,تجزئة عالمية
Global Warming,دفء كوني
Globalization,عولمة
Go Ahead,أمر مباشرة
Goal(s),هدف(أهداف)
Gold standard,معيار الذهب
Gold-exchange standard,معيار صرف الذهب
GPS,النظام العام لتحديد الموقع
Grand Unification,توحيد كبير
Graphics,بيانيات
Gravitation,ثقالة
Greenhouse Gas,غاز دفيئة
Greige goods,سلع/ بضائع شبه المنتهية
Grid,مشبك
Gross Domestic Product (GDP),ناتج محلي إجمالي
Gross margin,هامش إجمالي
Gross National Product (GNP),ناتج قومي إجمالي/ إجمالي الناتج القومي
Group Theory,نظرية الزمر
Groupware,بارمج تعاونية
Growth on growth,نمو فوق النمو
Handling,تداول
Hand-off,استغناء، كف اليد
Handy Mixer,خلاط يدوي
Hard,صلد
Hardness,صلابة
Hardware,عتاد، عتاديات/ كيان صلب، خرضوات
Harmonic Oscillator,هزاز توافقي
Harmonization,مجانسة
Harmonized Tariff Schedule,برنامج تعرفات جمركية متناغم (الموحد)
Hatching,تهشير
Hazard,خطر
Heat pump,مضخة حرارية
Heavy industry,صناعة ثقيلة
Hierarchy,تارتبية (هرمية)
High Alloy Steel,صلب عالي التسبيك
Hole,ثقب
Holistic,شمولي
Holistic Medicine,طب شمولي
Horizontal Drilling,حفر أفقي
Horizontal integration,تكامل أفقي
HOWs,كيفيات
Human Genome,جينوم بشري
Hybridization,تهجين
Hydrofracturing,تصديع مائي
Hyperbolic,قطع - ازئدي
Hypothesis,فرضية
Hysteresis,تخلفية (علميا )
Immunization effect,أثر مناعي
Impact,أثر
Implant,مزدرع
Implantation,ازدارع
Import brokers,وسطاء الاستيراد
Import penetration ratio,نسبة تغلغل الواردات
Import substitution,استعاضة عن الاستيراد
Importers,مستوردون
Importing countries,بلدان مستوردة
Imports,واردات
Impulse,دفع
In basket,في السلة
Index,مؤشر استدلالي
"Industrial adjustment (also known as
adjustment or structural adjustment)","توافق صناعي (والذي يعرف أيضا بالتوافق أو التوافق

البنيوي)"
Industrial revolution,ثورة صناعية
Industrialized countries,دول صناعية
Industry strategy,استراتيجية الصناعة
Industry structure,بنية الصناعة
Inertia,عطالة
Infant Industry protection,حماية الصناعة الوليدة
Inflation,تضخم
"Information, partial",معلومات جزئية
Info-Structures,بنى معلوماتية
Infrastructures,بنى أساسية
Innovation,تجديد/ ابتكار
Innovation incremental,إبداع متاركم
Input,دخل/ مدخل
Inquiring,متسائل
Insight,فطنة/ نفاذ بصيرة/ تبصر
In-situ Production,استخراج في الموقع الأصلي
Inspection,تفتيش
Instant Communications,تراسل فوري
Institute,معهد، هيئة
Institution,معهد
Institutional Change,تغيير مؤسساتي
Integrated Circuit,دائرة متكاملة
Integrated Logistic Support (ILS),دعم تمويني متكامل
Integration,تكامل
Interaction,تفاعلات
Interchangeability,قابلية المبادلة
Interchangeable,قابل للمبادلة
Interest group or special interest groups,مجموعات المصالح الخاصة
Interface,"وجه التقاء/ مستوى التقاء/ وجه بيني/ واجهة
تخاطب، طريقة تفاعل، تفاعل"
Interfaces,تواجهيات
Interference,تداخل
Intermediate inputs,مدخلات وسيطية
Intermediate Maintenance,صيانة وسيطة
International activities,فعاليات دولية
International marketing,تسويق دولي
International monetary system,نظام النقد الدولي
International retailers,باعة التجزئة الدوليون
Internationalization of capital,تدويل رأس مال
Internet,إنترنت
Interoperability,قابلية العمل البيني
Interoperation,عمل بيني
Intra-firm trade,تجارة داخلية في الشركة
Invariance,صمود/ عدم تغير/ لاتغير
Invention,اختراع
Inventory,مخزون
Inventory management,إدارة المخزون
Inventory replenishing,تجديد المخزون
Investigation,استقصاء
Invitation for Bid (IFB),إعلان مناقصة
Ionic Bond,ﺁصرة أيونية
Isotropic,متناظر كرويا
Iterative,عودي
Jamming/ Seizune,لصب
Jet Engine,محرك نفاث
Job,مهمة
Job Shop,خط إنتاج مرن
Joint venture,مشروع مشترك
Junk pile,كومة توالف
Just - in - Time,في الوقت تماما
Just-in-Time (JIT),JIT في الوقت المحدد/ طريقة
