3-D Seismics,زلزاليات ثلاثية الأبعاد
Knowledge Management,إدارة المعرفة
Label,علامة
Labor,يد عاملة
Labor-intensive industry,صناعات شديدة الاعتماد على العمال
Laissez faire,دعه يعمل
Landmark,معلم
Laser,ليزر
Lathe,مخرطة
Lava Flow,حمم بركانية متدفقة
Law of demand,قانون الطلب
Law of supply,قانون العرض
Lead time,زمن التأخير
Leader,قائد، رائد
Leading Time,وقت استباقي
Lean Production,إنتاج مقتصد
Learning,تعلم
Lens Traps,مصيدة عدسية
Lensing,أثر عدسي
Lesch's Law,قانون ليش
Letter of credit,سند ائتمان
Level of living,مستوى المعيشة
Licensing,ترخيص
Life Cycle,دورة الحياة
Life Expectancy,مدى حياتي
Lifespan,مدى عمري
Light industry,صناعة خفيفة
Limestone,حجر جيري(حجر كلسي)
Limestone Reservoir,مكمن حجر كلسي (حجر جيري)
Line of Balance (LOB),خط التوازن
Lining,بطانة
Liquefied Natural Gas (LNG),غاز طبيعي مسيل (بالتثليج)
Liquefied Petroleum Gas (LPG),غاز نفطي مسيل (بالضغط)
Log,سجل
Logistic Curve,منحنى دلالة رمزية (منحنى لوجستي)
Logistic Support,دعم تمويني
Logistics,إمداد وتموين
Log-normal Distribution,توزع لوغارتم التوزع الطبيعي
Lubrication,تزليق
Macroeconomics,اقتصاد شامل/ جمعي
Magma,صهير
Magnetic Domains,نطاقات المغنطة
Magnetic Resonance Imaging,تصوير بالرنين المغناطيسي
Maintenance,صيانة
Management,إدارة
Management by wandering around,إدارة بالتجوال حولك
Management middle,إدارة وسطى
Management top,إدارة عليا
Mandate,تفويض
Man-made,صنعي
Manufactures,مصنوعات
Manufacturing,تصنيع
Maquiladora,عمليات الماكيلادوار
Markdown,تنزيل الأسعار
Market,سوق
Market access,نفاذ إلى السوق
Market clock,ساعة السوق
Market disruption,بلبلة السوق
Market opportunity,فرصة السوق
Market share,حصة السوق
Marketing,تسويق
Marketing orientation,توجيه التسويق
Marketing research,أبحاث التسويق
Markup,رفع الأسعار
Mass merchandisers,تجار الكميات الكبيرة
Mass Secptrometer,مقياس الطيف الكتلي
Master Production Scheduling (MPS),خطة الإنتاج الزمنية الرئيسية
Materials Requirements Planning (MRP),تخطيط متطلبات المواد
Matrix,مصفوفة/ كنان
Matrix Approach,نهج مصفوفاتي
Matrix buying,شراء مصفوفي
Matrix organization,تنظيم مصفوفي
Matrix Structure,بنية مصفوفاتية
Mature industry,صناعة ناضجة
Mean,وسطي
Mean Cycles Between Failures (MCBF),عدد الدوارت الوسطي بين إخفاقين
Mean Time,مدة وسطية
Mean Time Between Failures,المدة الوسطية بين إخفاقين
Mean Time for Corrective Maintenance,المدة الوسطية للصيانة الإصلاحية
Mean Time for Preventive Maintenance,المدة الوسطية للصيانة الوقائية
Mean Time to Failure,المدة الوسطية قبل الإخفاق
"Measure(s), Criteria",معيار (معايير)
Mechanization,مكننة
Median Time,مدة متوسطة
Meetings,لقاءات
Megaproject,مشروع هائل
Menu,قائمة خيارات(في البارمجيات الحاسوبية)
Mercantilism,مركنتلية
Merchandise trade,تجارة البضائع
Merchandise trade balance,ميازن تجاري للبضائع
Mesoeconomics,اقتصاد أوسط
Metabolism,أيض(تمثيل)
Methodology,علم المناهج
Metric,معيار قياس
Micro Chip,رقاقة مايكروية
Microarray,نسق مايكروي
Microeconomics,اقتصاد جزئي/ اقتصاد وحدي
Micro-marketing,تسويق صغري
Microorganisms,عضويات مجهرية
Mild Steel,صلب مطيلي
Milestone Chart,مخطط الصوى
Milestone(s),صوة (صوى)
Milling Machine,ماكنة تفريز
Minimum Cut Set,مجموعة قطع صغرى
Minimum Viable production,حد أدنى للإنتاج القابل للبقاء/ إنتاج حيوي أدنى
Mission,مهمة
Mistakes,أخطاء
Mock-ups,مقلدات
Model,نموذج
Model shop,مشغل للنماذج
Models,نماذج(تقليد عن الوقائع)
Moderator,ملطف (للتفاعل النووي)
"Modularity, product",وظائفية جزئية للمنتج
Module,مكون جزئي
Molding,قولبة
Molecular Biology,بيولوجيا جزيئية
Molecular Entity,كيان جزيئي
Molecular Sieve,غربال جزيئي
Molecule,جزيئة
Moment of Inertia,عزم العطالة
Momentum,زخم
Most Favored Nation MFN,معاملة البلد الأكثر تفضيلا
Moving targets,أهداف متحركة
Multilateral agreements,اتفاقيات متعددة الأطراف
Multinational Corporations (MNCs),شركات متعددة الجنسيات
Multinational enterprises (MNE),مؤسسات متعددة الجنسيات
Multiple Sclerosis,تصلب لويحي
Nano,نانو (مقياس يساوي واحد بالمليون من المليمتر)
Nano Particle,جسيمة نانوية
Nano Technology,تكنولوجيا نانوية
Nanobot,يرقة نانوية
Nanomedicine,طب نانوي
Nanoscale Technology,تكنولوجيا المقياس النانوي
Nanotechnology,تكنولوجيا نانوية
Nanotechnology,نانوتكنولوجيا
Nation-State,أمة- دولة
Need (s),حاجة (حاجات)
Nerve Gas,غاز أعصاب
Net present value,قيمة صافية حالية
Network Diagram,مخطط شبكي
Neuron,خلية عصبية
New International Division of Labor,تقسيم دولي جديد للعمل
New producer nations,دول منتجة جديدة
Newly emerging countries,دول بازغة حديثا
Newly industrialized countries (NICs),دول حديثة العهد بالصناعة
Nihilism,مذهب العدمية
NL Chemicals,مختبر وطني للكيماويات
Non-Commutativity,لاتبديلية
Nondurable goods,بضائع مؤقتة
Non-reciprocity,عدم المعاملة بالمثل
Non-tariff barriers (NTBs),عوائق غير التعرفة الجمركية
Norm,معيار قياس
Normal Distribution,توزع طبيعي
Normalization,استنظام
Normalize,استنظم
Normalized,مستنظم
Nuclear Fission,انشطار نووي
Nuclear fusion,اندماج نووي
Nuclear Reactor,مفاعل نووي
Numerical Control (NC),تحكم رقمي
Object Oriented,غرضي التوجه
Objective(s),غرض(أغارض)
Off the Shelf,جاهز
Offshore Platform,منصة بحرية (للحفر)
Offshore production,إنتاج خارج الحدود/ إنتاج خارج الشواطئ
Oil Reserve,احتياطي نفطي
Oil Reservoir,مكمن نفطي
Oil Shale,زيت السجيل (طفل زيتي)
Open economy,اقتصاد مفتوح
Open Loop,حلقة مفتوحة
Open Loop System,نظام مفتوح الحلقة
Open Pit Mine,منجم مفتوح
Open Source,مصدر مفتوح
Open Source Software (OSS),بارمج مصدر مفتوح
Open-to-buy,حساب مفتوح للشراء
Operating rate,معدل التشغيل
Operation,عملية، تشغيل
Operational,تشغيلي/ عملياتي
Operational Sequence Diagram,مخطط تسلسل العمليات
Operator,مشغل
Opportunity cost,كلفة الفرصة الضائعة
Optic Gain,كسب ضوئي
Optical Amplifier,مضخم ضوئي
Optimization,أمثلية
Optimize,أمثلة
Optimized,مستمثل
Optimum Repair Level Analysis Model,نموذج التحليل الأمثلي لمستويات الإصلاح
Optimum Supply and Maintenance Model,نموذج الصيانة والإمداد الأمثلي
Optoelectronics,إلكترونيات ضوئية
OR Logic Gate,بوابة جواز منطقية «أو»
Orbit,مدار (لكوكب أو جسم فضائي)
Order- of - Magnitude,درجة مرتبية
Ordered AND Logic Gate,بوابة القارن التارتبي المنطقية
Organ Transplant,استبدال الأعضاء
Organism (s),متعضي/ عضويات
Organization,منظمة/ تنظيم، منظم
Organizational Maintenance,صيانة لدى المستخدم
Organizational Structure,هيكل تنظيمي
Original equipment,مصنع أصلي للتجهيزات
Oscillation,اهتازز/ تأرجح
Osteoporosis,ترقق العظام
Outcrop,منكشف صخري
Output,خرج، مخرج
Outsourcing,تعهيد خارجي/ تفويض/ تزود خارجي
Outward processing,معالجة خارجية
"Outward processing or outward processing
trade OPT",معالجة خارجية أو تجارة المعالجة الخارجية
Over shipping,شحن ازئد
Overall Equipment Effectiveness (OEE),فعالية التجهيزات الكلية
Overhaul,تعمير
Overlap of activities,تراكب الأنشطة
Overload,زيادة التحميل
Ownership,علاقة الملكية
Packaging,تغليف، تعليب
Packing,رزم
Paddle Wheel,دولاب تغديف
Paleontology,إحاثة (علم)/ علم المتحجارت
Parabolic,قطع ـ مكافئي
Parallelism,توازي
Parameter(s),موسط (موسطات)
Parametric Estimate,تخمين موسطاتي
Pareto Analysis,تحليل باريتو
Particulate Matter,مادة هبابية
Partnership,شراكة
Per Capita GNP,ناتج قومي إجمالي للفرد
Perfective Maintenance,صيانة تحسينية
Performance,أداء
Performance product,أدائية المنتج
Performance system,أدائية النظام، خصائصه
Periodic,دوري
Permafrost,جليد دائم
Permeability,نفاذية
Perspective,منظور
Pesticide,مبيد حشري
Petrology,علم البترول
Phased - Array,نسق مرحلي
Phased project planning,تخطيط للمشروع المرحلي
Photo Detectors,متحسس ضوئي
Photon synthesis,تركيب ضوئي
Photonics,فوتونيات
Physical,مادي
Pier,رصيف بحري
Pilot,ارئد، أولي
Plan,خطة
Planck’s Constant,ثابت بلانك
Planetary Gear,ترس تعشيق كوكبي
Planning,تخطيط
Plastics,لدائن/ بلاستك
Plug In,قبسي
Point of Sale (POS) information,معلومات موقع البيع
Poisson Distribution,توزع بواسان
Political system,نظام سياسي
Polymer,بوليمر
Porosity,مسامية
"Portfolio, project",حقيبة المشاريع
Postindustrial society,مجتمع ما بعد الصناعة
Potential Energy,طاقة كامنة
Power retailers,باعة التجزئة الأقوياء
Preproduction Prototype,نموذجقبل إنتاجي
Preventive Maintenance,صيانة وقائية
Price,سعر
Price averaging,توسيط السعر
Price-performance,سعر – أدائية
Prime Number,عدد أولي
Priorities,أولويات
Private label lines,اصناف العلامة التجارية الخاصة
Privately held companies,شركات ذاتالملكية الخاصة
Privatization,خصخصة
Probability theory,نظرية الاحتمالات
Process,إجرائية/ سيرورة، عملية
Process,عملية
"Process, product development",عملية تطوير المنتج
Processing,معالجة
Procurement,شراء
Product,منتج
Product Group,زمرة الجداء
Product Line Approach,نهج خط المنتج
Product Line Structure,بنية قائمة على المنتج
Product upgrading,ترقية المنتج
Production economies of scale,اقتصاديات الإنتاج الحجمي
Production orientation,توجيه الإنتاج
Productivity,إنتاجية
Profile,شكل
Profit,فائدة
"Program Evaluation and Review
Technique (PERT)",تقنية مراجعة وتقييم البرنامج
Program Management Plan (PMP),خطة إدارة البرنامج
Program Networks,شبكات البرنامج
Progress,تقدم
Project,مشروع
Project Approach,نهج المشروع
Project management,إدارة المشروع
Project Structure,بنية مشروعاتية
Propagate/ Propagation,انتشار/ ينتشر
Proper Time,زمن صرف
Proportional Control,تحكم تناسبي
Prosthesis,جراحة تقويمية
Protection (or protectionism),حماية (أو سياسة الحماية)
Protective tariffs,تعرفات الحماية الجمركية
Proteomics,بروتيوميكا
Protocol,ميفاق
Prototype,نموذج أولي
Prototypes,"نماذج (تنفيذ غالبا خلال مرحلة التطوير وبدء
التصنيع)"
Provider,مورد
Proximity,تقارب
Publicly held companies,شركات ذات الملكية العمومية
Purchasing,شراء، مشتريات
Purchasing Power Parity,تكافؤ قوة الشراء
Quality,جودة
Quality Function Deployment,نشر وظيفة الجودة/ نشر تابع الجودة
"Quality, product",جودة المنتج
Quantum Amplitude,سعة كمومية
Quantum Corrections,تصحيحات كمومية
Quantum Dot,نقطة الكم
Quantum Fluctuations,تاروحات كمومية
Quantum Gravity,ثقالة كمومية
Quantum Mechanics,ميكانيكا الكم
Quantum Size Effect,تأثير الكم الحجمي
Queue time,زمن الانتظار
Queuing Analysis,تحليل الأرتال
Queuing theory,نظرية الأرتال
Quick response (QR),استجابة سريعة
Quota,حصة محددة (الكوتا)
Quota flexibility,مرونة الحصص المححدة
Quota premium,ثمن الحصص المحددة
Rack,منصب
Radiation,إشعاع
Radioactive Waste,نفايات مشعة
Radiotherapy,علاج بالإشعاع
Rationalization,تقنين
Reactor,مفاعل
Readiness,جهوزية
Real-Time Management,إدارة في الزمن الحقيقي
Recoverable Oil,نفط قابل للاستخراج
Recruiting,تجنيد
Recycle,دور
Recycling,تدوير
Reductionism,اختازلية (تبسيطية)
Redundancy,مضاعفة
Redundant,مضاعف
Redundant workers,عمال فائضون عن الحاجة
Re-exports,إعادة التصدير
Refine,صفى
Refinery,مصفاة
Reflection Symmetry,تناظر الانعكاس
Reflection Transformation,تحويل الانعكاس
Regenerative Medicine,طب تجديدي
Regime or international regime,نظام أو نظام دولي
Regression Analysis,تحليل رجعي
Relay,مرحل
"Release, drawing",إطلاق الرسوم
Reliability,معولية/ موثوقية/ وثوقية
Reliability system,نظام الوثوقية (الاعتمادية)
Reliability-centered Maintenance (RCM),صيانة قائمة على الوثوقية
Repair,إصلاح
Repeatability,تكرارية
Repeatable,قابل للتكرار
Repetitive,تكراري
Replicator,مكرر
Reproduction,تكاثر
Request for Proposal (RFP),طلب عروض
Request For Quotation (RFQ),طلب أسعار
Requirement(s),متطلب (متطلبات)
Research and development R&D,بحث وتطوير
Resources,موارد
Respirocyte,خلية دم حمراء اصطناعية
Restructuring,إعادة الهيكلة
"Retail Industry Trade Action
Coalition (RITAC)",ائتلاف تجارة التجزئة
Retailers,محال بيع التجزئة
Retaliation,رد بالمثل
Retina,شبكية (العين)
Retrieval,استحضار
Returns,عوائد
Revenues,إياردات
Review (s),مراجعة/ مراجعات (نقدية غالبا)
Rewards,مكافآت
RFID tag,لصيقة التعريف بالإشارات الارديوية
Ribosome,ريبوسوم
Rigid,صلب
Risk,خطر، مجازفة/ مخاطرة
Risk Management,إدارة الأخطار، إدارة المجازفات
Risk Priority Number (PRN),رقم أهمية الخطر
Robotics,روبوتية
Robust,منيع
Robustness,مناعة
Roller Bearing,محمل مدحرج
Rotational Symmetry,تناظر دوارني
Rules of Origin,قواعد بلد المنشأ
Safeguard mechanism,ﺁلية الأمان
Safety,أمان
Sandstone,حجر رملي
Sandstone Reservoir,مكمن حجر رملي
Satisfier,مشبع
Scaffold,مرتقى (سقالة)
Scalar Potential,كمون سلمي
Scaling,ملائمة القياس/ تغيير المقياس
Scanning Tunneling Electron Microscope,مجهر إلكتروني ماسح ثاقب
Scarcity rent,كلفة الندرة
Scenario,مشهد
Schedule,خطة زمنية/ خطة التنفيذ
Scientific Breakthrough,اختارق علمي
Scientific Management,إدارة علمية
Screen,شاشة
Screwdriver,مفك البارغي (أداة)
Scripting Language,لغة إخطاطية
Search,بحث
Secondary Recovery,استخراج ثانوي
Security,أمن
Sedimentary Fuel,وقود أحفوري
Sedimentology,رسوبيات (علم)
Seismic Survey,مسح زلازلي
Seismology,زلازليات (علم)
Self Assembly,تجميع ذاتي
Self Replicator,مكرر ذاته
Semiconductor,شبه موصلة (مادة)
Semidurable goods,بضائع شبه دائمة
Sensor,متحسس
Servo Motor,محرك مؤازر
Sewing,خياطة
Sewn products industry,صناعة المنتجات المخيطة
Share,حصة
Shipments,مشحونات
Shop Floor Control (SFC),إدارة المعمل
Short Circuit,دورة قصيرة
Signing up,توقيع واعتماد
Simple Group,زمرة بسيطة
Simulation,محاكاة
Simulator,محاكي
Skepticism,مذهب الشك
Skunk works,أعمال كريهة
Slack Time,مدة فائضة
Sleeve Bearing,محمل أنبوبي
Small wins,مكاسب صغيرة
Smokestack or sunset industries,صناعات المدخنة أو صناعات غروب الشمس
Smoothed Average,معدل ممهد (في الاحصاء)
Sneak Circuit Analysis,تحليل خفايا الدارة
Social charges,تأمينات اجتماعية (أو كلف اجتماعية)
Socialist economic system,نظم اقتصادية اشتاركية
Society,مجتمع
Soft goods chain,سلسلة المنسوجات (الأقمشة)
Software,كيان لين، برمجيات
Softwoods industry,صناعة الأقمشة
Solution Gas,غاز ذائب (غاز محلول)
Sorting,فرز
Source Code(s),رماز مصدري(أرمزة مصدرية)
Source Rocks,صخور مولدة
Sourcing,تزود
Space Shuttle,مكوك فضاء
Spare,صارية
Special protection,حماية خاصة
Specialist,اختصاصي
Specification (s),مواصفة (مواصفات) / مواصفات المنتج
Specifics,خصوصيات
Spectral Lines,خطوط طيفية
Speed Losses,إعاقات بسيطة
"Sponsor, project",مشرفالمشروع
Spot Price,سعر فوري
Spread Sheets,وريقات جدولة
Square-meter equivalent (SME),متر مربع مكافئ
Standard,معيار
Standard (s),مقيس (مقايس)
Standard Deviation,انحارف معياري
Standard Industrial Classification (SIC),معيار التصنيف الصناعي القياسي
"Standard international trade classification
(SITC)",نظام تصنيف التجا رة الدولي القياسي
Standard Model,نموذج معياري
Standard Variate,متحول معياري
Standardization,تقييس
Standby,احتياطي
Standing Waves,موجات مستقرة
Statement,بيان
Statement of Work (SOW),بيان العمل
Static costs,كلف سكونية
Statistical Process Control (SPC),تحكم إحصائي في السيرورة
Stem Cell,خلية جذعية
Stepper Motor,محرك خطوي
Stiction,احتكاك شروعي
Stiff,جاسئ
Stockout,نضوب المخزون
Storage,خزن
Strain,إذعان (في الميكانيك)
Stratified Rock,صخور طباقية
Stratigraphy,جيولوجيا طبقية (علم)
Streamlined,انسيابي
Strength,شدة/ متانة
Stress,إجهاد (في الميكانيك)
Strong Forces,قوى شديدة
Structural decline,تراجع بنيوي
Structural unemployment,بطالة بنيوية
Structure,بنية، هيكل
Structuring,إنشاء بنى
Styling,طراز
Subatomic,دون ذرية
Subcontractor,متعهد ثانوي
Subgroup,زمرة جزئية
Subsidies,إعانات مالية
Subsidies (government subsidies),إعانات مالية (إعانات مالية حكومية)
Substrate,طبقة أساس
"Summary Work Breakdown Structure
(SWBS)",ملخص هيكل تجزئة العمل
Super Longevity,إطالة العمر الفائق
Super Partner,شريك فائق
Super Symmetry,تناظر فائق
Superconductivity,موصلية فائقة
Superposition of States,تراكب الحالات
Supplier (s),مزود/ موردون
Supply,إمداد
Supply Chain,سلسلة الإمداد
Supply Chain Management (SCM),إدارة سلسلة الإمداد
Support,دعم، تخديم
Supramolecular Chemistry,كيمياء ما فوق الجزيئية
Surge,اندفاع
Survivability,قابلية الحياة
Sustainability,مستدامية
Sustainable Consumption,استهلاك مستدام
Switch,كباسة
Symbiosis,تعايشية
Symmetry,تناظر
Synthesis,تركيب (وضع الحلول)
Synthetic Chemicals,كيميائيات تركيبية
Synthetic fibers (noncellulosic fibers),خيوط تركيبية (خيوط غير السيلولوزية)
System Approach,نهج نظمي
System design,تصميم النظام
"System Engineering Capability Model
(SECM)",نموذج فعالية هندسة النظم
"System Engineering Management Plan
(SEMP)",خطة إدارة هندسة النظم
Tag(s),لصيقة (لصيقات)
Taillight,ضوء خلفي
Tar Sands,رمال قيرية
"Target, Goal",هدف
Tariff,تعرفة جمركية (رسوم جمركية)
Task,مهمة
Team,فريق
Team leader,قائد الفريق
Team members,أعضاء الفريق
Teamwork,فريق العمل
Technique (s),تقنية (تقنيات)
Technology (s),تكنولوجيا، تقانة (تقانات)
Technology transfer,نقل التقنية
Telephones,هواتف
Teleworking,عمل عن بعد
Test,اختبار
Testing,اختبار
Textile complex,سلسلة النسيج
Textile consumption,استهلاك النسيج
Textile industry,صناعة النسيج
Textile mill products industry,صناعة منتجات مشاغل النسيج
Textile sector,قطاع النسيج
Textile visa (also called export visa),تأشيرة النسيج (تسمى أيضا رخصة تصدير)
Thermostat,منظم حراري
Think Tank,مركز أبحاث
Thumb rule,قاعدة تجريبية
Time,وقت، زمن
Time Dilation,تمدد الأزمنة
Tissue Engineering,هندسة الأنسجة
"Toes, stepping on",مشي على الأصابع
Tolerance,سماح (في القياسات)
Tolerances,تسامحات
Tollgate,بوابة المكوس
Tool,أداة
Tooling,أدوات(مساعدات الإنتاج)
Top Quark,كوارك ذروي
Top-down,نزولي
Torque,عزم اللوي
Total Productive Maintenance (TPM),برنامج الصيانة الإنتاجية الشاملة
Total Quality Management,إدارة الجودة الشاملة
Traceability,قابلية التعقب
Trade,تجارة
Trade Adjustment Assistance,مساعدة التوافق التجاري
Trade Off,مقايضة، مفاضلة
Trade Off Study,دراسة مقايضة، دراسة مقارنة، دراسة مفاضلة
Trade-offs,خيارات تفصيلية
Trading Blocs,تكتلات تجارية
Transducer,محول طاقة
Transfer of project,نقل المشروع
Transformation,تحول/ عملية تحويل
Transhumanism,عبر الإنسانية
Transistor,تارنزستور
Transmission Electron Microscope,مجهر إلكتروني عاكس
Transnational corporations (TNCs),شركات متخطية للحدود القومية
Transshipment,شحن عن طريق الغير
Triode,صمام ثلاثي (الكتروني)
Triple transformation or triple rule origin,تحول ثلاثي أو قاعدة المنشأ الثلاثية
Tropism,انتحاء
Troubleshooting,تشخيص الخلل
Truss diagram,مخطط الدعامات
Tumor,ورم (مرضي)
Tuning,تنغيم
Turbulence,حركة دوامية
Uncertainty,ارتياب
Uncertainty Principle,قاعدة المشكوكية
Underdevelopment,تأخر تنموي
Underwriters’ laboratories,مخابر ضمان المواصفات
Unified Theories,نظريات توحيدية
Uniform Distribution,توزع متجانس
Unilateral restraints,تقييدات فردية
Unit sales,مبيع الوحدات
Universal Product Coding (UPC),ترميز المنتجات العالمي
Up quark,كوارك علوي
Upgrading,تحديث
Uploading,تحميل مرجع (حاسوبيا )
Upstream activities,فعاليات تحضيرية
Uranium Enrichment,تخصيب اليوارنيوم
Urgency,ملح
User,مستخدم
Vaccine,لقاح
Vacuum Tube,صمام فارغي
Valence,تكافؤ (في الكيمياء)
Validate,أقر
Validation,إقرار
Value added,قيمة مضافة
Variance ( s ),تشتت
Variances,تفاوتات
Velocity costs,كلفة السرعة
Vendor,عارض
Venture group,فريق مغامرة
Verification,تحقق، توثق
Verify,تحقق، توثق
Vertical integration,تكامل شاقولي
Vertical retailing,بيع التجزئة الشاقولية
Vertical Take Off and Landing (VTOL),إقلاع وهبوط عمودي(للطائرات)
Virtual Reality,واقع افتراضي
Virtual Space,مجال افتراضي
Virtualization,افتراضية
Visa system,نظام التأشيرات
Viscosity,لزوجة
Visibility,وضوح رؤية
Volatility,قابلية التطاير
Voluntary export restraint (VER),تقييد طوعي للتصدير
Volunteers,متطوعون
Vulnerability,نقطة ضعف
War plan,خطة حرب
Warehousing,تخزين
Warping,التواء (انفتال)
Washer,حلقة (رنديلة)
Weak Forces,قوى ضعيفة
Web,وب
Weighting Factor,عامل تثقيل
Welfare costs of protection,كلف الرخاء الناجمة عن الحماية
Well Logging,تسجيل قياسات البئر
WHATs,ماهيات
Wiki,ويكي
Wind Turbine,توربين رياح
"Window, market",نافذة السوق
Wire line,كابل الحفر
Work,عمل
Work Breakdown Structure (WBS),هيكل تجزئة العمل
Work in process,أعمال غير المنجزة
Workshop,مشغل (ورشة)
World-class manufacturing,تصنيع بالسوية العالمية
World-systems theory,نظرية أنظمة العالم
Yarn-forward position,بند الغزل وما يليه
Zeolite,"زيولايت ""غلي"""
Zero defects,انعدام العيوب
Zero Point energy,طاقة نقطة الصفر
Zero- Point Field,مجال نقطة الصفر
