English,Arabic
Cash balance,الرصيد النقدي
Advance payments,الدفعات المقدمة
Office expenses,مصروفات مكتبية
Value added tax (VAT),ضريبة القيمة المضافة
Debit accounts,الحسابات المدينة
Credit accounts,الحسابات الدائنة
Profit and loss account,حساب الأرباح والخسائر
Budget,الميزانية
Income,الدخل
Expenses,المصروفات
Assets,الأصول
Receivables,المطالبات
Liabilities,الالتزامات
Taxes,الضرائب
General budget,الميزانية العمومية
Account,حساب
Cash reserve,الاحتياطي النقدي
Financial statement,قائمة المركز المالي (الميزانية)
Cost,التكلفة
Gross profit,مجمل الربح
Net profit,صافي الربح
Annual reconciliation,التسويات الجردية
Capital gain,العائد الرأسمالي
Payables,الذمم الدائنة (دائنون)
Accounts receivable,الذمم المدينة (مدينون)
Shares,الأسهم
Direct profits,الأرباح المباشرة
Property rights,حقوق الملكية
Income list,قائمة الدخل
Statement of Cash Flows,قائمة التدفقات النقدية
Covenant and predecessor,العهد والسلف
Current account,حساب الجاري
Fixed assets,الأصول الثابتة
non-current assets,الأصول غير المتداولة
Current assets,الأصول المتداولة
Short term liabilities,الالتزامات قصيرة الأجل
Long term liabilities,الالتزامات طويلة الأجل
Statutory reserve,احتياطي نظامي
Extra reserve,احتياطي اضافي
earnings of the year,أرباح العام
Accounting Constraints,القيود المحاسبية
Debit,المدين
Credit,الدائن
Accounting Policies,السياسات المحاسبية
Accounting System,النظام المحاسبي
Financial Statements,القوائم المالية
Borrow,اقتراض
Transaction,عملية مالية
Capital Expenses,مصروفات رأسمالية
Operating Expenses,مصروفات تشغيلية
Capital Gains,أرباح رأسمالية
Capital Losses,خسائر رأسمالية
Fair Value,القيمة العادلة
Income Summery,ملخص الدخل
Cash Basis,الأساس النقدي
Accrual Basis,أساس الاستحقاق
Cash Flows,التدفقات النقدية
Cash,النقدية
On Credit,على الحساب
Deposit,ايداع
Withdraw,سحب
Cost Estimates,تقديرات التكاليف
Cost of Goods Sold,تكلفة البضاعة المباعة
Purchasing Power,القوة الشرائية
Revenue,الايرادات
Sales Discount,خصم مبيعات
Selling Expenses,مصروفات بيعية
Net Loss,صافي خسارة
Owners Drawings,مسحوبات شخصية
Adjusting Entry,قيد تسوية
Closing Entry,قيد الاقفال
Allowance,مخصص
Losses,خسائر
Deficit,عجز
Post,الترحيل
Closing of Account,اقفال الحساب
Accounting Procedures,الاجراءات المحاسبية
Investing Activities,الانشطة الاستثمارية
Operating Activities,الانشطة التشغيلية
Financing Activities,الانشطة التمويلية
Disclosure,الافصاح
Notes Payable,اوراق الدفع
Notes Receivable,اوراق القبض
Accrued Expenses,مصروفات مستحقة
Advance Expenses,مصروفات مقدمة
Accrued Revenues,ايرادات مستحقة
Advance Revenue,ايرادات مقدمة
Contingent Liability,التزام محتمل
Inventory,البضاعة
Beginning Inventory,بضاعة اول المدة
Ending Inventory,بضاعة آخر المدة
Auditing,تدقيق الحسابات
Classification,التبويب
Cash Outflows,التدفقات النقدية الخارجة
Cash Inflows,التدفقات النقدية الداخلة
Internal Auditing,التدقيق الداخلي
Inflation,التضخم
Annual Report,التقارير السنوية
Fixed Cost,التكلفة الثابتة
Variable Cost,التكلفة المتغيرة
Analysis of Financial Statements,تحليل القوائم المالية
Classification of Accounts,تصنيف الحسابات
Organization Cost,مصاريف التأسيس
Arbitrage,الموازنة
Accounting Information,المعلومات المحاسبية
Accuracy,الدقة
Actual Cost,التكلفة الفعلية
Activity- Based Costing,تكلفة الأنشطة
Administrative Expense Budget,ميزانية المصروفات الإدارية
Adding and Dropping Product Decision,قرار إضافة وإلغاء المنتج
Avoidable Cost,التكلفة القابلة للتجنب
Benchmarking,المرجعية
Budgeted Income Statement,بيان الدخل المتوقع المدرج في الموازنة
Budgeted Statement of financial position,بيان المركز المالي المتوقع المدرج في الميزانية
Capital Budget,ميزانية الاستثمارات
Common costs,التكاليف العامة
Controllable costs,التكاليف القابلة للتحكم
Control,التحكم
Cost Accounting,حساب التكلفة
Cost Allocation,تخصيص التكاليف
Cost Benefit analysis,تحليل الفوائد والتكاليف
Cost Center,مركز التكاليف
Differential Analysis,التحليل التفاضلي
Direct Labor Budget,ميزانية العمل اليدوي المباشر
Direct Material Budget,ميزانية المواد المباشرة
Financial Accounting,المحاسبة المالية
Historical Costs,التكاليف التاريخية
Idle Capacity,القدرة الخاملة
Investment Center,مركز الاستثمار
Joint Cost,التكلفة المشتركة
Joint Cost  Allocation,تخصيص التكلفة المشتركة
Joint Product,المنتج المشترك
Make- Buy Decision,قرار الصنع أو الشراء
Managerial Accounting,المحاسبة الإدارية
Marginal cost,التكلفة الحدية
Management by objectives,إدارة الأهداف
Management by Exception,إدارة حسب الاستثناء
Market Price,سعر السوق
Marketing Expense Budget,ميزانية المصروفات التسويقية
Master Budget,الميزانية الرئيسية
Modified Cost,التكلفة المعدلة
Modified Market Price,السعر المعدل
Multiple Alternative Choice Decision,قرار الاختيار المتعدد البدائل
Operating Budget,ميزانية التشغيل
Opportunity Cost,تكلفة الفرصة
Performance Reports,تقارير الأداء
Pricing,التسعير
Product Profitability,ربحية المنتج
Production Budget,ميزانية الإنتاج
Relevant Cost,التكلفة ذات الصلة
Required rate of Return,معدل العائد المطلوب
Responsibility Center,مركز المسؤولية
Return on Investment,عائد الاستثمار
Sales Budget,ميزانية المبيعات
Strategic cost management,إدارة التكلفة الاستراتيجية
Total Quality Control,السيطرة الكلية على الجودة
Target Costing,التكلفة المستهدفة
Special Orders,الطلبيات الخاصة
Split off Point,نقطة الفصل
Standard Cost,التكلفة القياسية
Sunk Cost,التكلفة المغمورة
Target Income,الهدف الدخلي
Transfer Pricing,تسعير النقل
Accrual Basis of Accounting,أساس المحاسبة بالاستناد إلى التراكم
Amortization,الاستهلاك التدريجي
Audit Report,تقرير المراجعة
Board of Directors,مجلس الإدارة
Bonds Premium,قيمة موجبة للسندات
Bonds Discount,قيمة سالبة للسندات
Call Provision,بند استدعاء
Capital Account,حساب رأس المال
Capital Expenditures,النفقات رأس المالية
Capital Gains,الربح رأس المال
Capital Losses,الخسائر رأس المال
Carrying Value,القيمة المحمولة
Cash Basis of Accounting,أساس المحاسبة النقدية
Classification,التصنيف
Classified Financial Statements,البيانات المالية المصنفة
Common Stock Holders,حاملي الأسهم العادية
Comparative Financial Statements,البيانات المالية المقارنة
Consistency Principle,مبدأ الاستمرارية
Consolidation,التجميع
Consolidated Accounting Entities,الكيانات المحاسبية المجمعة
Consolidated Balance Sheet,الميزانية المجمعة
Consolidated Financial Statements,البيانات المالية المجمعة
Constant-Dollar Financial Statements,البيانات المالية بالدولار الثابت
Accounting Assumptions,الافتراضات المحاسبية
Accounting Concepts,مفاهيم المحاسبة
Accounting Constraints,قيود المحاسبة
Cost / Benefit Relationship,العلاقة التكلفة / الفائدة
Materiality,الجدوى
Industry Practice,ممارسات الصناعة
Objectivity,الموضوعية
Accounting Elements,عناصر المحاسبة
Accounting Equation,المعادلة المحاسبية
Accounting Information,معلومات المحاسبة
Accounting Objectives,أهداف المحاسبة
Accounting Policies,سياسات المحاسبة
Accounting Principles,مبادئ المحاسبة
Accounting Procedures,إجراءات المحاسبة
Accounting Systems,أنظمة المحاسبة
Accounts Payable,الحسابات المدفوعة
Accounts Receivable,الحسابات المستحقة
Actual Basis of Accounting,أساس المحاسبة الفعلي
Accrued Expenses,المصروفات المستحقة
Accrued Revenues,الإيرادات المستحقة
Accumulated Depreciation,الاستهلاك التراكمي
Adjusted Trial Balance,الميزانية التجريبية المعدلة
Adjusting Entry,قيد التسوية
Administrative Expenses,المصروفات الإدارية
Allowance for Doubtful Accounts,مخصص التسوية للحسابات المشكوك في سدادها
Auditor,مراجع
Bad Debts,الديون المشكوك في تحصيلها
Basic Accounting Assumptions,الافتراضات المحاسبية الأساسية
Economic Entity Assumption,افتراض الكيان الاقتصادي
Going Concern (Continuity),فرضية استمرارية الأعمال (الاستمرارية)
Monetary Unit Assumption,فرضية الوحدة النقدية
Basic Accounting Principles,مبادئ محاسبة أساسية
Historical Cost Principle,مبدأ تكلفة التاريخية
Revenue Recognition Principle,مبدأ اعتراف الإيرادات
Matching Principle,مبدأ التطابق
Full Disclosure Principle,مبدأ الكشف الكامل
Revenue Realization Principle,مبدأ تحقق الإيرادات
Percentage of Completion Principle,مبدأ الانجاز بنسبة الاكتمال
Business Entity,الكيان التجاري
Business Transaction,عملية تجارية
Capital Expenditure,النفقة الرأسمالية
Cash,النقد
Cash Equivalents,معادلات النقد
Cash Flow from Operations,المدفوعات النقدية من العمليات
Cash Flows,تدفقات النقد
Cash Inflows,تدفقات النقد الواردة
Cash Outflows - Use of Cash,تدفقات النقد الصادرة - استخدام النقد
Certified Public Accountant,محاسب معتمد عام
Comparative Balance Sheet,ميزان المراجعة المقارن
Comparative Income Statement,بيان الدخل المقارن
Conceptual Framework,الإطار المفاهيمي
Consistency,التسلسل
Contra Account,الحساب المعاكس
Contributed Capital,رأس المال المساهم
Convertible Bonds,السندات المحولة
Convertible Preferred Stock,الأسهم المحولة المفضلة
Copyright,حقوق التأليف والنشر
Corporation,الشركة المساهمة
Cost of Goods Sold,تكلفة بيع البضائع
Cost Principle,مبدأ التكلفة
Creditors,الدائنون
Current Assets,الأصول الجارية
Current Cost,التكلفة الجارية
Current Liabilities,الخصوم الجارية
Date of Declaration,تاريخ الإعلان
Date of Payment,تاريخ الدفع
Date of Record,تاريخ السجل
Debit,دائن
Debtors,المدينون
Deficit,العجز
Depletion,استنفاد
Depreciation Expense,مصاريف الاستهلاك
Direct Method,الطريقة المباشرة
Discount Rate,معدل الخصم
Economic Entities,الكيانات الاقتصادية
Equity,الحقوق
Equity Method,طريقة المساهمة بالحقوق
Net Cash Flows,تدفقات النقد الصافية
Net Income,صافي الدخل
Gross Income,الدخل الإجمالي
Net Reliable Value,القيمة الصافية الموثوق بها
Net Working Capital,رأس المال العامل الصافي
Working Capital,رأس المال العامل
Non-Interest Bearing Note,سند غير محمل بفائدة
Notes Payable,السندات المدفوعة
Notes Receivable,السندات المستحقة
Paid-in Capital,سيولة المساهمة
Partnership,شراكة
Patent,براءة اختراع
Pension,معاش
Plant Assets,أصول المصنع
Equipment,معدات
Plant,مصنع
Property,ممتلكات
Preferred Stock,الأسهم المفضلة
Premium,العلاوة
Prepaid Expenses,مصروفات مدفوعة مقدماً
Prepaid Insurance,تأمين مدفوع مقدماً
Profit,ربح
Profit Margin,هامش الربح
Profitability,الربحية
Promissory Note,سند مستندي
Public Accountant,محاسب عام
Purchases Returns,مرتجع المشتريات
Purchases Allowances,اعتمادات المشتريات
Returns,مرتجعات
Chartered Accountant,محاسب مقيم
Qualitative,الصفات النوعية
Quantitative,الصفات الكمية
Understandability,قابلية التفهم
Extraordinary Items,العناصر الاستثنائية
Financial Statements,البيانات المالية
Financing Activities,أنشطة التمويل
Foreign Exchange Rate,سعر الصرف الأجنبي
Funds,الأموال
Generally Accepted Accounting Principles,المبادئ المحاسبية المقبولة عموماً (GAAP)
Generally Accepted Auditing Standards,المعايير المحاسبية المقبولة عموماً (GAAS)
Goodwill,القيمة المضافة
Historical Cost,التكلفة التاريخية
Indirect Method,الطريقة غير المباشرة
Interest,الفائدة
Interim Financial Reports,التقارير المالية المؤقتة
Internal Auditing,المراجعة الداخلية
Internal Control System,نظام التحكم الداخلي
Investing Activities,أنشطة الاستثمار
Investments,الاستثمارات
Journal,اليومية
Liabilities,الالتزامات (الخصوم)
Long Term Liabilities,الخصوم طويلة الأجل
Market Value,القيمة السوقية
Marketable Debt Securities,الأوراق القابلة للتداول والديون
Marketable Equity Securities,الأوراق القابلة للتداول وحقوق الملكية
Maturity,الاستحقاق
Maturity Date,تاريخ الاستحقاق
Merchandise Inventory,مخزون البضائع
Mortgage,الرهن العقاري
Net Assets,الأصول الصافية
Operating Activities,أنشطة التشغيل
Operating Expenses,مصاريف التشغيل
Owners Equity,حقوق الملكية للمالكين
Allowance,الاحتساب
Allowances,الاحتسابات
Selling Expenses,مصاريف البيع
Shareholders (Stockholders),المساهمون (ملاك الأسهم)
Short Term Notes Payable,السندات قصيرة الأجل
Single Proprietorship,مؤسسة فردية
Statement of changes in Financial Position,بيان تغيرات في الوضع المالي
Stock Subscriptions,اشتراكات الأسهم
Stock Values,قيم الأسهم
Straight Line Depreciation Method,طريقة الاستهلاك المباشر بالخط العريض
Subsidiary Company,الشركة التابعة
Accounts,الحسابات
Short Term Investments,استثمارات قصيرة الأجل
Treasury Stock,الأسهم الخزينة
Absorption Costing System,نظام التكلفة المعتمد
Billing on Construction in Process,الفوترة على البناء قيد الإنشاء
Branches,الفروع
Capital Maintenance Concept,مفهوم الحفاظ على رأس المال
Coding,الترميز
Completed Contract Method,طريقة العقد المكتمل
Consignee,المرسل إليه
Consignor,المرسل
Constant Purchasing Power,قوة شرائية ثابتة
Construction in Process,البناء في العملية
Consumer Price Index,الرقم القياسي لأسعار المستهلك
Contract Costs,تكاليف العقد
Cost,يكلف
Contract Debtors,المدينون المتعاقدون
Contract Revenues,إيرادات العقد
Contribution Margin,هامش المساهمة
Cost Price,سعر التكلفة
Cost Plus Contracts,عقود التكلفة الإضافية
Current Cost Approach,نهج التكلفة الحالية
Current Purchasing Power,القوة الشرائية الحالية
Measurement Unit,وحدة قياس
Prediction,التنبؤ
Predictive Value,القيمة التنبؤية
Feedback Value,قيمة ردود الفعل
Feedback,تعليق
Reliability,مصداقية
Reliable,موثوق
Timeliness,توقيت
Verifiability,التحقق
Neutrality,الحياد
Representational Faithfulness,الإيمان التمثيلي
Comparability,المقارنة
Representation,التمثيل
Realizable Value,قيمة قابلة للتحقيق
Realization Principle,مبدأ الإدراك
Sales Discount,خصم المبيعات
Sales Returns,عوائد المبيعات
Sales Allowances,بدلات المبيعات
Salvage Value,قيمة مستردة
Statement of changes in Owners' Equity,بيان التغيرات في حقوق الملكية
Stock Authorization and Issuance,ترخيص وإصدار المخزون
Stock Dividends,توزيعات أرباح الأسهم
Stock Premiums,أقساط الأسهم
Unearned Revenue,أرباح غير ممتلكة
Unrealized Loss,خسارة غير محققة
Unrealized Profit,ربح غير محقق
Utilities Expenses,نفقات المرافق
Working Papers,أوراق العمل
Worksheet,ورقة العمل
Data Collection,جمع البيانات
Dealers,تجار - وكلاء
Deferred Gross Profit,إجمالي الربح المؤجل
Departmental Contribution Margin,هامش مساهمة الإدارات
Direct Costing System,نظام التكاليف المباشرة
Entry Value Method,طريقة قيمة الإدخال
Estimated Price,السعر المقدر
Exit Value Method,طريقة قيمة الخروج
Fixed Price Contracts,عقود السعر الثابت
Format,شكل
GNP Implicit Price Deflator,معامل انكماش السعر الضمني للناتج القومي الإجمالي
Gross Profit,إجمالي الربح
Hire Purchase,استئجار الشراء
Hire Sale,تأجير بيع
Holding Gains,المكاسب القابضة
Holding Losses,خسائر الحيازة
Inflation,تضخم اقتصادي
Input Method,طريقة الادخال
Installment Purchase,شراء بالتقسيط
Installment Sale,البيع بالتقسيط
Long Term Contracts,عقود طويلة الأجل
Maintenance of Nominal Capital,صيانة رأس المال الاسمي
Maintenance of Real Capital,صيانة رأس المال الحقيقي
Measurement Basis,أساس القياس
Measurement Bias,قياس التحيز
Realization,إدراك
Realized Income,الدخل المحقق
Replacement Cost,تكلفة الاستبدال
Segments,شرائح
Segment,شريحة
Short Term Contracts,عقود قصيرة الأجل
Standard Costs,التكاليف القياسية
Accounting System,نظام المحاسبة
Conversion,تحويل
Corporate Earnings,أرباح الشركات
Current Cost Accounting,محاسبة التكاليف الحالية
Dividends,أرباح
Earned Surplus,الفائض المكتسب
Earning per Share,ربحية السهم
Effective Interest Rate,معدل الفائدة الفعلي
Financial Accounting,محاسبة مالية
Financial Forecast,التنبؤ المالي
Fiscal Year,السنة المالية
General Price Index,الرقم القياسي العام للأسعار
Mix of Sales,مزيج من المبيعات
Monetary Items,البنود النقدية
Monetary,نقدي
Net Realizable Value,صافي القيمة الممكن تحقيقها
Nominal Value,قيمة رمزية
Nonmonetary Items,العناصر غير النقدية
Operating Income,دخل التشغيل
Output Method,طريقة الإخراج
Percentage of Completion Method,النسبة المئوية لطريقة الإنجاز
Planning,تخطيط
Control,يتحكم
Price Index,مؤشر الأسعار
Price Level Changes,تغيرات مستوى السعر
Profit Maximization,تعظيم الربح
Weighted Average (WA),المتوسط المرجح (WA)
Whole Sale Price Index,مؤشر سعر البيع الكامل
Letter of Credit,خطاب اعتماد
Letters of Credit,خطابات الاعتماد
General Price Level,مستوى الأسعار العام
Tax - Taxation,الضريبة - الضرائب
Income Tax,ضريبة الدخل
Inflation Accounting,المحاسبة للتضخم
Intangible,غير ملموس
Intercompany Liabilities,التزامات بين الشركات
Quality Control,مراقبة الجودة
Assurance Services,خدمات الضمان
Compliance Audit,مراجعة الامتثال
E-Commerce,التجارة الإلكترونية
Evidence,دليل
Independent,مستقل
Risk,المخاطرة
Information Risk,مخاطر المعلومات
Operation,العملية
Strategic Systems Audit,مراجعة الأنظمة الاستراتيجية
Adverse Opinion,رأي سلبي
Disclaimer of Opinion,تحفظ الرأي
Material Misstatement,تزوير مادي
Analysis,تحليل
Activities,أنشطة
Variance - Variances,الاختلاف - الاختلافات
Indirect Costs,التكاليف الغير مباشرة
Actual,الفعلي
Allocation,توزيع
Appraisal Costs,تكلفة التقييم
Prevent,الوقاية
Prevention Costs,تكاليف الوقاية
Internal,داخلي
Internal Failure Costs,تكاليف الفشل الداخلي
External,خارجي
External Failure Costs,تكاليف الفشل الخارجي
Artificial,اصطناعي
Reciprocal,متبادل
Reciprocal Allocation Method,طريقة التخصيص المتبادلة
Balance Scorecard,بطاقة الأداء المتوازن
Behavior,سلوك
Batch,دفعة
Calendar,التقويم
Contract,عقد
Common Cost,تكلفة مشتركة
Tracing,تتبع
Cost Tracing,تتبع التكلفة
Cost-volume-profit Analysis (CVP),تحليل العلاقة بين التكلفة والحجم والربح (CVP)
Decentralization,اللامركزية
Decision - Decisions,قرار - قرارات
Intercompany Transactions,المعاملات بين الشركات
Intercompany Elimination,الإلغاء بين الشركات
Demand,الطلب
Elasticity,المرونة
Inelasticity,قلة المرونة
Differential Revenue,الإيرادات التفاضلية
Idle Time,الوقت الخامل
Cost Center,مركز التكلفة
Labor Costs,تكاليف العمالة
Ledger,دفتر الأستاذ العام
Management by Exception,الإدارة بالاستثناء
Safe,آمن
Margin of Safety,هامش الأمان
Nonprofit,غير ربحي
Organization,منظمة
Company,شركة
Spoilage,التلف
Leverage,الرافعة المالية
Plan,خطة
Uncertainty,عدم اليقين
Value Added Costs,تكاليف القيمة المضافة
Work-in-process Inventory,مخزون العمل في التقدم
First In First Out (FIFO),الوارد أولاً صادر أولاً
Last In First Out (LIFO),الوارد أخيراً صادر أولاً
Asset-Based Financing,التمويل على أساس الأصول
Debenture,سند
Disclosure,الكشف
Attestation Services,خدمات التصديق
Operational Audit,مراجعة تشغيلية
Strategy,استراتيجية
Qualified Opinion,رأي مؤهل
Failure,الفشل
Quality,الجودة
Relevant,ذو صلة
Scrap,تالف
Seperate,متفرق
Seperable,قابل للانفصال
Sustaining,مستدام
Backflush Costing,تكلفة الإزالة العكسية
Batch-Level Costs,تكاليف مستوى الدفعة
Benchmarking,مقارنة الأداء
Breakeven Point,نقطة الاستراحة
Bullwhip Effect,تأثير السياط
Bundled Product,منتج مجمع
Value Chain,سلسلة القيمة
Byproduct,منتج جانبي
Joint Product,منتج مشترك
Capacity,القدرة
Capital Budget,الموازنة الرأسمالية
Competition,منافسة
Competitor - Competitors,منافس - منافسون
Estimate,تقدير
Manufacturing Lead Time,وقت الإنتاج
Outsourcing,الاستعانة بمصادر خارجية
Sunk Costs,التكاليف الثابتة
Customs Fees,الرسوم الجمركية
Spoilage Abnormal,تلف غير عادي
Accounting Profit,الربح المحاسبي
Accounting Accrual,محاسبة الاستحقاق
Ratio Test-Acid,نسبة السيولة السريعة
Cost Total Average,متوسط مجموع التكلفة
Cost Variable Average,متوسط التكلفة المتغيرة
Debts Bad,الديون المعدومة
Expense Debts Bad,مصاريف الديون المعدومة
Bankruptcy,إفلاس
Book value,القيمة الدفترية
Breakeven,نقطة التعادل
Safety point,نقطة الأمان
Budgeting,إعداد الموازنة
Capital,رأس المال
Revenue expenses,مصروفات إيرادية
Capitalize,رسملة
Operating Cycle,دورة التشغيل
