Accelerated life testing,اختبار الحياة المسرع
Thermal management (electronics),الإدارة الحرارية (بالمجال الإلكتروني)
Metal foaming,إرغاء المعدن
Seasoning,إزالة الإجهادات
Stress relieving,إزالة الإجهادات
Shrinkage fit,الإزواج الانكماشي
Taper fit,الأزواج التداخلي؟؟؟
Push fit,الإزواج الدفعي
Running fit,الِأزواج المتحرك 'الخلوصي
Smelting,استخلاص بالصهر
Remote sensing,الاستشعار عن بعد
Rapid tooling,الاستصناع السريع؟؟؟
Quenching,الإسقاء
Point cloud surface reconstruction,إعادة بناء السطح النقطي
Wheel truing,إعادة تأهيل القرص
Acceptance sampling,الاعتيان
Blanking,الاقتطاع
Cladding,إكساء 'تلبيس'
Chrome plating,الإكساء بالكروم
Rubber metal bondin,الإكساء بالمطاط
Thread locking,إلصاق اللوالب
Printed electronics,الإلكترونيات المطبوعة
Right size machinery,أمثلة اختيار الآلات
Topology optimization,أمثلة التضاريس
Vulcanization,الإمران
Confined flow,الانسياب المحصور
Ultrasonic insertion,الإيلاج بالأشعة فوق البنفسجية
UV insertion,الإيلاج بالأشعة فوق البنفسجية
Extrusion,البثق
Friction extrusion,بثق احتكاكي
Impact extrusion,البثق الصدمي
Hydrostatic extrusion,البثق المائي الساكن
Coextrusion,البثق المتزامن
Pultrusion,البثق المستمر
Filing,البرد
Draw filing,البرد المستعرض 
Knurling,برغله 'طرطره'
Boriding/Boronising,البرنزة
Lancing,التبزيغ ؟؟؟؟؟؟ 
Riveting,التبشيم
Impact riveting,التبشيم بالطرق
Crowning,التتويج
Ultrasonic-assisted drilling,التثقيب المعزز بالموجات فوق الصوتية
Laser drilling,التثقيب بالليزر
Refurbishment,التجديد
Oxy-fuel gouging,التجريف بالوقود والأكسجين 
Shaping,التجسيم
Fused deposition modeling,التجسيم بتوضع المصهور
Spray drying,التجفيف بالرش 
Internal grinding,التجليخ الداخلي 
Surface grinding,التجليخ السطحي 
Form grinding,التجليخ الشكلي
Electro-chemical grinding,التجليخ الكهروكيميائي
Worm grinding,تجليخ المسننات الدودية
Spring grinding,تجليخ النابض
Center-less grinding,تجليخ لا تمركزي 
Surface mounting,التجميع السطحي 
Boring,التجويب
Die-sinking,تجويف القوالب
Pelletizing,التَحبِيب
Electro-magnetic shielding,التحجيب الكهرومغناطيسي
Deformation,التحرّف
Thrilling,تحزيز محيطي
Data acquisition,تحصيل البيانات
Surface preparation,تحضير السطح 
Lapping,التحضين
Electro-chemical honing,التحضين الكهروكيميائي
Serrating,التخديد
Gear hobbing,تخديد المسننات 
Beading,التخريز
Pinning,التخريش
Etching,تخريش 'تنميش'
Dinking,التخريم
Swaging,التخصير
Fullering,التَخصير
Broaching,التخليق
Pickling,التخليل
Damping,التخميد
Counter sinking,التخويش
Cable armoring,تدريع الكبل
Structural strengthening,التدعيم الإنشائي
Spinning,التدويم
Gilding,التذهيب
Adhesive bonding,الترابط اللاصق
Edging,التَرديف
Atomization,الترذيذ
Sputter deposition,الترسيب بالرش المهبطي
Calendering,الترقيق بالدرفلة
Plastic compounding,تركيب الخليطة البلاستيكية
Heading,الترئيس
Amorphization,التزجيج
Minimum quantity lubrication,التزيت شبه الجاف؟؟؟
Punching,التسريد ؟؟؟
Flatting,التسطيح
Screw cutting,تسنين اللولب 'تشغيل اللوالب'
Roll threading,التسنين بالدرفلة 'درفلة اللوالب'
Gear planning,التسنين بالكشط
File cutting,تسنين مبرد
Planning,التسوية
Decambering,تسوية الحواف
Plate edge planning,تسوية حواف الألواح
Seaming,التشبيك
Point cloud mesh reconstruction,تشبيك السحب النقطية
Trimming,التشذيب
Cryogenic deburring,التشذيب المُبرّد
Casting impregnation,تشريب المسبوكات
Roll slitting,تشريح اللفافة
Machining,التشغيل
Dry machining,التشغيل الجاف
Bio-machining,التشغيل الحيوي
Electro-chemical machining,التشغيل الكهروكيميائي
Electro-chemical spark machining,التشغيل الكهروكيميائي المعزز بالشرر 'التشغيل بالشرارة الكهربائية'
Damped machining,التشغيل المخمد
Gear cutting,تشغيل المسننات
High pressure jet assisted machining,التشغيل المعزز بنفث عالي الضغط
Abrasive flow machining,التشغيل بالتدفق الكاشط
Magnetic assisted abrasive flow machining,التشغيل بالتدفق المغناطيسي الكاشط المعزز مغناطيسيا
Laser assisted electrical discharge machining ,التشغيل بالتفريغ الكهربائي المعزز بالليزر
Ion beam machining,التشغيل بالشعاع الأيوني
Abrasive jet machining,التشغيل بالنفث الكاشط
Hydro get,التشغيل بنافث مائي
Ultrasonic machining,التشغيل فوق الصوتي
Stretch and shrink flanging,تشفيه التمدد والتقلص
Straight flanging,التشفيه المستقيم
Slotting,التشقيب
Cold working,التشكيل البارد
Incremental sheet forming,التشكيل التدريجي للصفائح
Seamless rolled ring forging,تشكيل الحلقات المدرفلة المستمرة
Flow forming,التشكيل السيلاني
Electro-hydraulic forming,التشكيل الكهرومائي
Tongue shaping,تشكيل اللسان
Tube hydroforming,التشكيل المائي للأنابيب
Stretch forming,التشكيل المطي
Brake forming,التشكيل المقصلي
Bulge forming,التشكيل بالتقبيب
Forge rolling,التشكيل بالدرفلة
Spray Forming,التشكيل بالرش
Hydroforming,التشكيل بالسوائل
Laser beam forming,التشكيل بشعاع ليزر
Rubber pad forming,التشكيل بوسادة مطاطية
Tube end forming,تشكيل نهاية الأنبوب
Stereo Lithography,التصليب الرقمي بالليزر
UV curing,التصليب بالأشعة فوق البنفسجية
Ultraviolet curing,التصليد بالأشعة فوق البنفسجية
Temper rolling,التصليد بالدرفلة
Tapping,تصنيع اللوالب الداخلية
Laminated object manufacturing,تصنيع المجسمات المطبقة
Agile manufacturing,التصنيع المِطواع
Spring manufacturing,تصنيع النابض
Hybrid manufacturing,التصنيع الهجين
Additive manufacturing,التصنيع بالإضافة
Subtractive manufacturing,التصنيع بالاقتطاع
Defect classification,تصنيف العيوب
Planishing,التصويج
Forming,التصيير' التكوين'
Laser texturing,التضريس بالليزر
Normalizing,التطرية
Forging,التطريق
Induction forging,التطريق التحريضي
Open die forging,التطريق المفتوح
Flash-less forging,التطريق بدون ترييش
Point cloud visualization,تظهير السحب النقطية
Clinching,التعجين
Powder metallurgy,تعدين المساحيق
Laser wire stripping,تعرية الأسلاك بالليزر
Joggling,التعشيق
Laser marking,التعليم بالليزر
Comminution,التفتيت
Turn milling,التفريز الدوراني
Thread milling,تفريز اللوالب
Notching,التفريض
Aging of a permanent magnet,تقادم المغناطيس الدائم
Case hardening,التقسية السطحية
Peening,التقسية السطحية بالطرق
Cryogenic hardening,التقسية بالتبريد العميق
Induction hardening,التقسية بالتحريض
Shot peening,التقسية بالسفع
Flame hardening,التقسية باللهب
Indexing,التقسيم الزاوي
Flame straightening,التقويم باللهب
Crimping,التكليب
Cupping,التكويب  البلص
Skew rolling,التكوير بالدرفلة
Sintering,التلبيد
Selective laser sintering,التلبيد الانتقائي بالليزر
Plating,التلبيس
Nylon coating,التلبيس بالنايلون
Annealing,التلدين
Polymer plasticization,تلدين البوليمر
Curling,التلفيف
Spring winding,تَلفِيف النابض
Buffing,التلميع
Vapor polishing,التلميع بالبخار
Master batch dilution,تمديد المركز؟؟؟
Corrugation,التمويج
Plasma cleaning,التنظيف بالبلازما
Blast cleaning,التنظيف بالسفع
Ultrasonic cleaning,التنظيف فوق الصوتي
Refining of metal,تنقية المعادن
Profiling,التنميط 'النسخ'
Fettling,التهذيب
Part standardization,توحيد الأجزاء 'معيرة الأجزاء'
Physical vapor deposition,التوضع الفيزيائي لبخار معدني 
Chemical vapor deposition,التو ُّضع الكيميائي لبخار معدني 
Drilling,الثقب
Orbital drilling,الثَقب المداري
Bending (by forging),الثني (بالتشكيل)
Ram tube bending,الثني التراكمي لأنبوب
Steam bending,الثني بالبخار
Rotary draw bending,الثني بالسحب الدوراني
Grinding,الجلاخة
Roll grinding,جلاخة الدرافيل
Thread grinding,جلاخة اللوالب
Tap grinding,جلاخة ذكور القلوظة
Diffusion Bonding,الجمع التغلغلي
Trepanning,الحج
Metalworking,الحدادة المعدنية
Drop forging,حدادة بالمطرقة الساقطة
Perforating,الحز بالتخريم
Glass engraving,حفر الزجاج
Laser engraving,الحفر بالليزر
Over jacketing extrusion,الحقن التبطيني
Spring coiling,حلزنة النابض
Turning,الخارطة
Taper turning,الخارطة المخروطية
Ultrasonic assisted Turning,الخراطة المعززة بالأمواج فوق الصوتية
Laser assisted turning,الخارطة المعززة بالليزر
Fusion,الخلط الانصهاري
Roll forming,الدرفلة
Ring rolling,درفلة الحلقة
Thread rolling,درفلة اللولب
Cold rolling,الدرفلة على البارد
Hot rolling,الدرفلة على الساخن
Stamping,الدمغ
Point cloud geo-referencing,الربط الجغرافي للسحب النقطية
Evaporative-pattern casting,سباكة بالنماذج الراتنجية
Point cloud,السحابة النقطية
Drawing,السَحب
Wire drawing,سحب الأسلاك
Cold drawing,السحب البارد
Thermal fiber drawing,السحب الحراري للألياف
Hydrodynamic deep drawing,السحب العميق بضغط الماء
Shaving,السحج
Tumbling,السحق
Reaming,السحل
Sand blasting,السفع بالرمل
Coining (embossing),السك (النقش)
Casting,السكب
Resin casting,سكب الارتنج
Continuous casting,السكب المستمر
Slush die casting,السكب المهدور بقالب
Gravity die casting,السكب بالجاذبية 'السكب بالتثاقل'
Twin roll casting,السكب بالدرفلة المزدوجة
Spray casting (spray deposition),السكب بالرش (الترسيب بالرش)
Sand casting,السكب بالرمل
Die casting,السكب بالضغط
High pressure die casting,سكب بالضغط العالي المقولب
Centrifugal casting,السكب بالطرد المركزي
Cutting tool sharpening,شحذ أداة القطع
Cut off,الشطر
Chamfering,الشطف
Shrink wrapping,الصَر الانكماشي
Burnishing,الصقل
Honing,الصقل
Point cloud registration or alignment,الضم أو التراصف
Construction 3D Printing,الطباعة الإنشائية الثلاثية الأبعاد
3D Printing of optics,الطباعة البصرية ثلاثية الأبعاد
3D Printing,الطباعة الثلاثية الأبعاد
Lost wax printing,طباعة الشمع المهدور
Rubber-like 3D printing,الطباعة المطاطية الثلاثية الأبعاد
Wire-feed or 3D Mig printing,الطباعة بتغذية السلك أو بلحام القوس المحمي بالغاز الخامل
Electro plating,الطلاء الكهرلي
Mastication,العلك
Sunderland process,عملية سندرلاند
Fellows process,عملية فيلوز
Maag process,عملية ماغ
Hooker process,عملية هوكر
Mechanical screening,الغربلة الميكانيكية
Rotational fiberization,الغزل الدوراني
Electro spinning,الغزل الكهربائي
Galvanizing,الغلفنة
Milling,الفِرازة
Climb milling,الفِرازة التقاربية
Optical sorting,الفرز البصري
Super cooling,فرط التبريد
Phosphating,الفسفتة
Electro-static separation,الفصل بالكهرباء الساكنة
Upsetting,الفلطحة
Plasma cutting,القص بالبلازما
Shearing,القصل 'القص'
Nibbling,القضم
Glass cutting,قطع الزجاج
Foam Die Cutting,القطع القالبي للرغويات
Cryogenic machining,القطع المبرد 'التشغيل بالتبريد العميق'
Oxy acetylene cutting,القطع بلهب الأسيتيلين
Moulding,القولبة
Silicone molding,قولبة السليكون
Shell moulding,القولبة القشرية
Insert molding,القولبة المولجة
Extrusion blow molding,القولبة بالبثق والنفخ
Injection blow molding,قولبة بالحقن والنفخ
Injection stretch blow molding,قولبة بالحقن والنفخ المشدود
Powder Injection molding,القولبة بحقن المساحيق
Resin transfer molding,القولبة بنقل الراتنج
Pressing (hot),الكبس (على الساخن)
Hot isostatic pressing,الكبس الساخن المنتظم الضغط
Hot pressing,الكبس على الساخن
Micro encapsulation,الكبسلة الدقيقة ' المكروية'
Carburizing,الكربنة
Laser ablation,الكشط بالليزر
Point cloud outlier detection,كشف اللامنتمي
Welding,اللحام
Friction welding,لحام الاحتكاك
Fusion welding,لحام الانصهار
Explosive welding,اللحام الانفجاري
Seam welding,اللحام الخطي
Atomic hydrogen welding,اللحام الذري بالهدروجين
Soldering,لحام السمكرة، أو لحام القصدير
Laser beam welding,لحام الشعاع الليزري
Brazing,اللحام الصُفري
Butt-welding,اللحام العقبي
Gas welding,لحام الغاز
Hybrid laser-arc welding,لحام القوس المعزز بالليزر
Arc welding,اللحام القوسي
Automatic arc welding,اللحام القوسي الآلي
Ultrasonic plastic welding,لحام اللدائن بالأمواج فوق الصوتية
Spot welding,اللحام النقطي
Electron beam welding,لحام بالشعاع الإلكتروني
Hot pressure welding,اللحام بالضغط والتسخين
Hammer welding,اللحام بالطرق
Shielded arc welding,اللحام بالقوس المحجب
Submerged arc welding,لحام بالقوس المغمور
Electric resistance welding,لحام بالمقاومة الكهربائية
Resistance welding,اللحام بالمقاومة الكهربائية
Hot air welding,اللحام بالهواء الساخن
Hot plate welding,اللحام بصفيحة ساخنة
Ultrafast laser welding,اللحام بليزر فائق السرعة
Silver brazing,اللحام بمؤونة الفضة ؟؟
Thermit welding,لحام محراري
Filament winding,لف فتيلي
Waterjet-guided laser,الليزر الموجه بنافث مائي
Surfacing,المحورة ؟؟؟
Condition monitoring,مراقبة الحالة
3D scanning,مسح ثلاثي الأبعاد
Stud welding,المسمرة باللحام
Laminating,المصافحة
Hydrothermal processing,المعالجة الحرمائية
Digital light processing,المعالجة الرقمية بالضوء
Photochemical machining,المعالجة الكيميائية الضوئية
Thermal spraying,المعالجة بالرش الحراري
High velocity oxy-fuel coating,المعالجة بالوقود المؤكسج العالي السرعة
Calibration,المعايرة
Metalizing,المعدنة
Nitriding,النتردة
Reflex process,النسخ الضوئي
Fusion sawing,النشر الاحتكاكي
Cold sawing,النشر البارد
Semi-automatic,نصف آلي
Binder jetting,نفث اللاصق
Hot glass embossing,نقش الزجاج الساخن
Reticule etching,نقش الشبكات
Embossing and debossing,النقش النافر والنقش الغاطس
Laser etching,النقش بالليزر
Computer modeling of point cloud,النمذجة الحاسوبية للسحب النقطية
Impression die forging,الوسم بالتطريق المقولب